subID,task,label,stimulus_onset_s,n_tr,n_aligned_word_onsets,n_word_onsets_inside_run,n_word_onsets_outside_run
sub-285,piemanpni,piemanpni,12.0,294,985,985,0
sub-285,bronx,bronx,12.0,390,1356,1356,0
sub-285,forgot,forgot,12.0,574,2119,2119,0
sub-285,black,black,12.0,550,1539,1539,0
sub-286,piemanpni,piemanpni,12.0,294,985,985,0
sub-286,black,black,12.0,550,1539,1539,0
sub-287,black,black,12.0,550,1539,1539,0
sub-288,piemanpni,piemanpni,12.0,294,985,985,0
sub-288,bronx,bronx,12.0,390,1356,1356,0
sub-288,forgot,forgot,12.0,574,2119,2119,0
sub-288,black,black,12.0,550,1539,1539,0
sub-289,piemanpni,piemanpni,12.0,294,985,985,0
sub-289,black,black,12.0,550,1539,1539,0
sub-290,piemanpni,piemanpni,12.0,294,985,985,0
sub-290,bronx,bronx,12.0,390,1356,1356,0
sub-290,forgot,forgot,12.0,574,2119,2119,0
sub-290,black,black,12.0,550,1539,1539,0
sub-291,piemanpni,piemanpni,12.0,294,985,985,0
sub-291,bronx,bronx,12.0,390,1356,1356,0
sub-291,forgot,forgot,12.0,574,2119,2119,0
sub-291,black,black,12.0,550,1539,1539,0
sub-292,piemanpni,piemanpni,12.0,294,985,985,0
sub-292,bronx,bronx,12.0,390,1356,1356,0
sub-292,forgot,forgot,12.0,574,2119,2119,0
sub-292,black,black,12.0,550,1539,1539,0
sub-293,black,black,12.0,550,1539,1539,0
sub-294,piemanpni,piemanpni,12.0,294,985,985,0
sub-294,bronx,bronx,12.0,390,1356,1356,0
sub-294,forgot,forgot,12.0,574,2119,2119,0
sub-294,black,black,12.0,550,1539,1539,0
sub-295,bronx,bronx,12.0,390,1356,1356,0
sub-295,forgot,forgot,12.0,574,2119,2119,0
sub-295,black,black,12.0,550,1539,1539,0
sub-297,black,black,12.0,550,1539,1539,0
sub-298,piemanpni,piemanpni,12.0,294,985,985,0
sub-298,bronx,bronx,12.0,390,1356,1356,0
sub-298,forgot,forgot,12.0,574,2119,2119,0
sub-298,black,black,12.0,550,1539,1539,0
sub-299,piemanpni,piemanpni,12.0,294,985,985,0
sub-299,black,black,12.0,550,1539,1539,0
sub-300,piemanpni,piemanpni,12.0,294,985,985,0
sub-300,black,black,12.0,550,1539,1539,0
sub-301,piemanpni,piemanpni,12.0,294,985,985,0
sub-301,bronx,bronx,12.0,390,1356,1356,0
sub-301,forgot,forgot,12.0,574,2119,2119,0
sub-301,black,black,12.0,550,1539,1539,0
