iFA,ROI_idx,#No.,Region,RegionLongName,Cortical Division,LR,idx,ROI_value_mean,p_value_mean,p_value_FDR_mean,significant_FDR_mean,label_FDR_mean,ROI_value_sum,p_value_sum,p_value_FDR_sum,significant_FDR_sum,label_FDR_sum,delta_mean_minus_sum,abs_delta,effect_sign_mean,effect_sign_sum,effect_sign_reversal,FDR_comparison
3,310.0,310.0,POS2,Parieto-Occipital_Sulcus_Area_2,Posterior_Cingulate,idx_R,310,3.384780168533325,0.0003561764003968,0.004749018671958,1,+,3.325150728225708,0.000441853730477,0.0054850807921289,0,,0.05962944030761719,0.05962944030761719,1,1,False,lemma_mean_only
4,76.0,76.0,PI,Para-Insular_Area,Insula_FrontalOperc,idx_L,76,3.4543473720550537,0.0002758131771139,0.0061415253595848,0,,3.744154453277588,9.050114442024773e-05,0.002327172285092,1,+,-0.2898070812225342,0.2898070812225342,1,1,False,lemma_sum_only
4,155.0,155.0,47 s,Area_47s,OrbPolaFrontal,idx_L,155,3.440783262252808,0.0002900164753137,0.0061415253595848,0,,3.501950263977051,0.0002309329140215,0.0048903440616324,1,+,-0.06116700172424272,0.06116700172424272,1,1,False,lemma_sum_only
5,24.0,24.0,PH,Area_PH,MT + _Complex,idx_L,24,3.1328039169311523,0.0008657253518687,0.0139577125717292,0,,3.5106029510498047,0.0002235458226317,0.0047339115380847,1,+,-0.37779903411865234,0.37779903411865234,1,1,False,lemma_sum_only
5,340.0,340.0,45,Area_45,Inferior_Frontal,idx_R,340,3.231424570083618,0.0006158741470474,0.0117113869116546,0,,3.4836864471435547,0.0002472792577578,0.0049455851551571,1,+,-0.2522618770599365,0.2522618770599365,1,1,False,lemma_sum_only
6,10.0,10.0,V7,Seventh_Visual_Area,Dorsal_Stream_Visual,idx_L,10,-2.3966875076293945,0.0082720131534533,0.0183822514521184,0,,-2.903449535369873,0.0018453822329154,0.0049950195778162,1,,0.5067620277404785,0.5067620277404785,-1,-1,False,lemma_sum_only
6,24.0,24.0,PH,Area_PH,MT + _Complex,idx_L,24,3.3054795265197754,0.0004740701535546,0.0015375248223395,1,+,2.335726499557495,0.009752750232346,0.0208987504978844,0,,0.9697530269622803,0.9697530269622803,1,1,False,lemma_mean_only
6,48.0,48.0,43,Area_43,Posterior_Opercular,idx_L,48,2.9137213230133057,0.0017857428576559,0.0046924629836214,1,,2.7174479961395264,0.0032893746454612,0.008166723257697,0,,0.1962733268737793,0.1962733268737793,1,1,False,lemma_mean_only
6,57.0,57.0,PBelt,ParaBelt_Complex,Early_Auditory,idx_L,57,-2.846253633499145,0.0022118472446622,0.0056472695608398,0,,-2.9998066425323486,0.0013507552111997,0.0037989990314993,1,,0.15355300903320357,0.15355300903320357,-1,-1,False,lemma_sum_only
6,60.0,60.0,A4,Auditory_4_Complex,Auditory_Association,idx_L,60,-2.406443357467652,0.0080543509191756,0.0180097287633741,0,,-2.913261651992798,0.001788373837312,0.0048773831926693,1,,0.506818294525146,0.506818294525146,-1,-1,False,lemma_sum_only
6,91.0,91.0,TE1p,Area_TE1_posterior,Lateral_Temporal,idx_L,91,3.425628900527954,0.0003066889036333,0.0010515048124573,1,+,2.6597135066986084,0.0039103572024548,0.0093227059131373,0,,0.7659153938293457,0.7659153938293457,1,1,False,lemma_mean_only
6,124.0,124.0,31pv,Area_31p_ventral,Posterior_Cingulate,idx_L,124,-3.109749317169189,0.0009362309272747,0.0027401880798283,1,-,-2.6179819107055664,0.0044225746957433,0.0103384863017376,0,,-0.4917674064636226,0.4917674064636226,-1,-1,False,lemma_mean_only
6,167.0,167.0,p47r,Area_posterior_47r,Inferior_Frontal,idx_L,167,3.027322292327881,0.0012336536980103,0.0034162717791056,1,,2.851055383682251,0.0021787189480654,0.005642725333119,0,,0.17626690864562988,0.17626690864562988,1,1,False,lemma_mean_only
6,193.0,193.0,V8,Eighth_Visual_Area,Ventral_Stream_Visual,idx_R,193,-2.950779438018799,0.0015848658826944,0.0042578486400746,1,,-2.868777275085449,0.0020603092461295,0.0054537597691665,0,,-0.08200216293334961,0.08200216293334961,-1,-1,False,lemma_mean_only
6,210.0,210.0,3b,Primary_Sensory_Cortex,SomaSens_Motor,idx_R,210,2.887977838516236,0.0019386359453568,0.0050209276282624,0,,3.328441858291626,0.0004366661598938,0.0014691571734745,1,+,-0.4404640197753902,0.4404640197753902,1,1,False,lemma_sum_only
6,257.0,257.0,Pir,Pirform_Cortex,Insula_FrontalOperc,idx_R,257,2.9469847679138184,0.0016044450481278,0.0042785201283409,1,,2.687012195587158,0.0036047160211349,0.0087682281595174,0,,0.25997257232666016,0.25997257232666016,1,1,False,lemma_mean_only
6,332.0,332.0,11 l,Area_11l,OrbPolaFrontal,idx_R,332,3.089596509933472,0.0010021428874857,0.0029094470927006,1,,2.6919949054718018,0.0035513015119569,0.0086970649272415,0,,0.39760160446167037,0.39760160446167037,1,1,False,lemma_mean_only
6,343.0,343.0,IFJa,Area_IFJa,Inferior_Frontal,idx_R,343,2.9364638328552246,0.0016598876454239,0.0043938202378869,1,,2.900614023208618,0.0018621615597902,0.005002822100929,0,,0.035849809646606445,0.035849809646606445,1,1,False,lemma_mean_only
7,25.0,25.0,V3CD,Area_V3CD,MT + _Complex,idx_L,25,-3.614031791687012,0.0001507360357117,0.0036176648570818,1,-,-3.203334093093872,0.0006792314332312,0.0088570841246836,0,,-0.4106976985931401,0.4106976985931401,-1,-1,False,lemma_mean_only
7,160.0,160.0,45,Area_45,Inferior_Frontal,idx_L,160,3.1636669635772705,0.0007789748020238,0.010386330693651,0,,3.548654556274414,0.0001936023433849,0.0043560527261607,1,+,-0.38498759269714355,0.38498759269714355,1,1,False,lemma_sum_only
7,244.0,244.0,STSdp,Area_STSd_posterior,Auditory_Association,idx_R,244,3.364015817642212,0.000384085702372,0.0070862911129133,0,,3.685359954833984,0.000114189817849,0.0031621795712056,1,+,-0.321344137191772,0.321344137191772,1,1,False,lemma_sum_only
7,345.0,345.0,IFSa,Area_IFSa,Inferior_Frontal,idx_R,345,3.3237290382385254,0.0004441122592581,0.0070862911129133,0,,3.507713556289673,0.0002259877116107,0.0046630665173264,1,+,-0.18398451805114746,0.18398451805114746,1,1,False,lemma_sum_only
8,37.0,37.0,5mv,Area_5m_ventral,ParaCentral_MidCing,idx_L,37,-3.3313968181610107,0.0004320566382496,0.0043205663824964,1,-,-2.865985631942749,0.0020785655648871,0.0149656720671873,0,,-0.4654111862182617,0.4654111862182617,-1,-1,False,lemma_mean_only
8,60.0,60.0,A4,Auditory_4_Complex,Auditory_Association,idx_L,60,3.428913116455078,0.0003030017446689,0.0031165893737373,1,+,2.8986990451812744,0.0018735719004326,0.0146538980739369,0,,0.5302140712738037,0.5302140712738037,1,1,False,lemma_mean_only
8,64.0,64.0,STSdp,Area_STSd_posterior,Auditory_Association,idx_L,64,3.507405996322632,0.00022624909783,0.0024181500540284,1,+,2.8763298988342285,0.0020116448856181,0.0147794318127047,0,,0.6310760974884033,0.6310760974884033,1,1,False,lemma_mean_only
8,124.0,124.0,31pv,Area_31p_ventral,Posterior_Cingulate,idx_L,124,3.624648332595825,0.0001446774549593,0.0019048941702115,1,+,3.2506792545318604,0.0005756483225751,0.0062797998826382,0,,0.37396907806396484,0.37396907806396484,1,1,False,lemma_mean_only
8,160.0,160.0,45,Area_45,Inferior_Frontal,idx_L,160,3.6905016899108887,0.000111906100944,0.0015494690899948,1,+,3.0664215087890625,0.001083188393578,0.0095109224801978,0,,0.6240801811218262,0.6240801811218262,1,1,False,lemma_mean_only
8,209.0,209.0,3a,Area_3a,SomaSens_Motor,idx_R,209,-3.807727813720703,7.012475867931106e-05,0.0011303002644094,1,-,-3.203768253326416,0.0006782080590944,0.0071810265080584,0,,-0.6039595603942871,0.6039595603942871,-1,-1,False,lemma_mean_only
8,237.0,237.0,PBelt,ParaBelt_Complex,Early_Auditory,idx_R,237,3.320844888687134,0.0004487269966566,0.0043659923999022,1,+,3.0092360973358154,0.0013095275082161,0.0109621683234384,0,,0.31160879135131836,0.31160879135131836,1,1,False,lemma_mean_only
8,299.0,299.0,PGp,Area_PGp,Inferior_Parietal,idx_R,299,-3.535679578781128,0.0002033638491534,0.0023616446998467,1,-,-3.029838800430298,0.0012234214827074,0.010486469851778,0,,-0.5058407783508301,0.5058407783508301,-1,-1,False,lemma_mean_only
