iFA,ROI_idx,#No.,Region,RegionLongName,Cortical Division,LR,idx,ROI_value_mean,p_value_mean,p_value_FDR_mean,significant_FDR_mean,label_FDR_mean,ROI_value_sum,p_value_sum,p_value_FDR_sum,significant_FDR_sum,label_FDR_sum,delta_mean_minus_sum,abs_delta,effect_sign_mean,effect_sign_sum,effect_sign_reversal,FDR_comparison
1,1.0,1.0,V1,Primary_Visual_Cortex,Primary_Visual,idx_L,1,-1.919712781906128,0.0274470944133478,0.1013225210802662,0,,-1.2182331085205078,0.1115677006826819,0.2219026090926271,0,,-0.7014796733856201,0.7014796733856201,-1,-1,False,neither
1,2.0,2.0,V2,Second_Visual_Area,Early_Visual,idx_L,2,-0.2559588253498077,0.3989913155160323,0.4456516020718585,0,,-0.0139903044328093,0.4944188581115235,0.4949271134966602,0,,-0.2419685209169984,0.2419685209169984,-1,-1,False,neither
1,3.0,3.0,V3,Third_Visual_Area,Early_Visual,idx_L,3,-0.0659334957599639,0.4737153864169294,0.4858619347865943,0,,-0.0889801383018493,0.4645488474190493,0.47646035632723,0,,0.02304664254188539,0.02304664254188539,-1,-1,False,neither
1,4.0,4.0,V4,Fourth_Visual_Area,Early_Visual,idx_L,4,-0.7068473100662231,0.2398306852731597,0.3354211383046427,0,,-1.204567790031433,0.1141850987126902,0.2223304897695353,0,,0.49772047996520996,0.49772047996520996,-1,-1,False,neither
1,5.0,5.0,IPS1,IntraParietal_Sulcus_Area_1,Dorsal_Stream_Visual,idx_L,5,-1.1497477293014526,0.1251238948595798,0.2383312283039616,0,,-1.7898458242416382,0.0367393500731357,0.1120861527654989,0,,0.6400980949401855,0.6400980949401855,-1,-1,False,neither
1,6.0,6.0,V3A,Area_V3A,Dorsal_Stream_Visual,idx_L,6,0.6780650019645691,0.2488652399356937,0.3381826004260528,0,,0.7863976359367371,0.2158172840159442,0.3095424891620043,0,,-0.10833263397216797,0.10833263397216797,1,1,False,neither
1,7.0,7.0,V3B,Area_V3B,Dorsal_Stream_Visual,idx_L,7,-0.7398441433906555,0.2296972851165761,0.3320924604095077,0,,-0.7712392807006836,0.2202825575984481,0.3103056765080955,0,,0.031395137310028076,0.031395137310028076,-1,-1,False,neither
1,8.0,8.0,V6,Sixth_Visual_Area,Dorsal_Stream_Visual,idx_L,8,1.212530255317688,0.1126547341632035,0.22283354010304,0,,1.8677022457122805,0.0309017927266416,0.1020609668035871,0,,-0.6551719903945925,0.6551719903945925,1,1,False,neither
1,9.0,9.0,V6A,Area_V6A,Dorsal_Stream_Visual,idx_L,9,1.26001238822937,0.1038324466593977,0.2160675190600184,0,,1.0084342956542969,0.1566230077765448,0.2598354046062495,0,,0.251578092575073,0.251578092575073,1,1,False,neither
1,10.0,10.0,V7,Seventh_Visual_Area,Dorsal_Stream_Visual,idx_L,10,-0.3545969724655151,0.3614457722923205,0.4266245181155259,0,,-0.7975297570228577,0.2125717139350637,0.3095424891620043,0,,0.4429327845573426,0.4429327845573426,-1,-1,False,neither
1,11.0,11.0,FFC,Fusiform_Face_Complex,Ventral_Stream_Visual,idx_L,11,-4.2883734703063965,8.999314030304276e-06,0.0002314109322078,1,-,-4.773730278015137,9.04222744556887e-07,2.712668233670661e-05,1,-,0.48535680770874023,0.48535680770874023,-1,-1,False,shared_same_direction
1,12.0,12.0,PIT,Posterior_InferoTemporal_complex,Ventral_Stream_Visual,idx_L,12,1.0510365962982178,0.1466208910786773,0.2466519663005786,0,,0.8058008551597595,0.2101788424509599,0.3088342174789615,0,,0.24523574113845825,0.24523574113845825,1,1,False,neither
1,13.0,13.0,V8,Eighth_Visual_Area,Ventral_Stream_Visual,idx_L,13,-0.7088472247123718,0.239209644157599,0.3354211383046427,0,,-0.8944282531738281,0.18554640071599,0.2826720126307895,0,,0.1855810284614563,0.1855810284614563,-1,-1,False,neither
1,14.0,14.0,VMV1,VentroMedial_Visual_Area_1,Ventral_Stream_Visual,idx_L,14,-0.7908708453178406,0.2145096815232199,0.3139518095953501,0,,-0.2507798075675964,0.4009921770136931,0.4456530221531024,0,,-0.5400910377502441,0.5400910377502441,-1,-1,False,neither
1,15.0,15.0,VMV2,VentroMedial_Visual_Area_2,Ventral_Stream_Visual,idx_L,15,-1.2174583673477173,0.1117149336819759,0.2221954482072449,0,,-1.128173828125,0.1296232573061484,0.2368749879706265,0,,-0.08928453922271729,0.08928453922271729,-1,-1,False,neither
1,16.0,16.0,VMV3,VentroMedial_Visual_Area_3,Ventral_Stream_Visual,idx_L,16,0.3042642772197723,0.3804632791952499,0.4307131462587735,0,,-0.1709128618240356,0.4321461415988857,0.4575665028694084,0,,0.4751771390438079,0.4751771390438079,1,-1,True,neither
1,17.0,17.0,VVC,Ventral_Visual_Complex,Ventral_Stream_Visual,idx_L,17,-1.9175784587860107,0.027582241849628,0.1013225210802662,0,,-2.092916965484619,0.018178283748863,0.067465795356605,0,,0.1753385066986084,0.1753385066986084,-1,-1,False,neither
1,18.0,18.0,FST,Area_FST,MT + _Complex,idx_L,18,-1.6102488040924072,0.0536717754346456,0.1596846211278713,0,,-1.4968550205230713,0.0672154930716715,0.1693024964789381,0,,-0.11339378356933594,0.11339378356933594,-1,-1,False,neither
1,19.0,19.0,LO1,Area_Lateral_Occipital_1,MT + _Complex,idx_L,19,-0.7051079273223877,0.2403715367944585,0.3354211383046427,0,,-0.8894243240356445,0.1868875386160868,0.2826870332008036,0,,0.18431639671325684,0.18431639671325684,-1,-1,False,neither
1,20.0,20.0,LO2,Area_Lateral_Occipital_2,MT + _Complex,idx_L,20,0.6753389239311218,0.2497302297773256,0.3381826004260528,0,,0.2806933522224426,0.3894728040065717,0.4368424752645615,0,,0.3946455717086792,0.3946455717086792,1,1,False,neither
1,21.0,21.0,LO3,Area_Lateral_Occipital_3,MT + _Complex,idx_L,21,0.6621727347373962,0.2539302629076406,0.3411003531595173,0,,0.6606953740119934,0.2544038455311385,0.3379534479380438,0,,0.001477360725402832,0.001477360725402832,1,1,False,neither
1,22.0,22.0,MST,Medial_Superior_Temporal_Area,MT + _Complex,idx_L,22,-1.10946524143219,0.1336147655377267,0.244343147173023,0,,-1.0608837604522705,0.1443713651558329,0.2463837258293643,0,,-0.048581480979919434,0.048581480979919434,-1,-1,False,neither
1,23.0,23.0,MT,Middle_Temporal_Area,MT + _Complex,idx_L,23,-1.0298645496368408,0.1515367970706249,0.2537360323043022,0,,-0.7795714139938354,0.2178215936848156,0.3103056765080955,0,,-0.25029313564300537,0.25029313564300537,-1,-1,False,neither
1,24.0,24.0,PH,Area_PH,MT + _Complex,idx_L,24,-2.320718050003052,0.0101510329506736,0.0553692706400379,0,,-3.389697313308716,0.0003498491726547,0.0040627645856684,1,-,1.0689792633056636,1.0689792633056636,-1,-1,False,lemma_sum_only
1,25.0,25.0,V3CD,Area_V3CD,MT + _Complex,idx_L,25,-0.6384674906730652,0.2615847048287732,0.3474925968205105,0,,-0.9841069579124452,0.1625314630955129,0.2659605759744757,0,,0.34563946723938,0.34563946723938,-1,-1,False,neither
1,26.0,26.0,V4t,Area_V4t,MT + _Complex,idx_L,26,-0.9282847046852112,0.1766299529895585,0.2801507365883024,0,,-1.1463433504104614,0.1258265562630505,0.23536985765305,0,,0.21805864572525024,0.21805864572525024,-1,-1,False,neither
1,27.0,27.0,1,Area_1,SomaSens_Motor,idx_L,27,1.3613600730895996,0.086699963636332,0.2076700200017987,0,,1.2530338764190674,0.1050966891696274,0.2129705882990815,0,,0.10832619667053223,0.10832619667053223,1,1,False,neither
1,28.0,28.0,2,Area_2,SomaSens_Motor,idx_L,28,1.240442156791687,0.1074059482148891,0.2186529421034023,0,,1.1432147026062012,0.126474729669077,0.23536985765305,0,,0.09722745418548584,0.09722745418548584,1,1,False,neither
1,29.0,29.0,3a,Area_3a,SomaSens_Motor,idx_L,29,1.3626976013183594,0.0864889170625357,0.2076700200017987,0,,1.9807028770446775,0.023812301970209,0.0832274631968473,0,,-0.6180052757263181,0.6180052757263181,1,1,False,neither
1,30.0,30.0,3b,Primary_Sensory_Cortex,SomaSens_Motor,idx_L,30,1.1918948888778689,0.1166512312708366,0.2269969905810874,0,,1.4006916284561155,0.0806531535854325,0.1873234534887465,0,,-0.20879673957824663,0.20879673957824663,1,1,False,neither
1,31.0,31.0,4,Primary_Motor_Cortex,SomaSens_Motor,idx_L,31,0.8997909426689148,0.1841157576520287,0.286933648288876,0,,1.2048569917678833,0.1141292570635928,0.2223304897695353,0,,-0.3050660490989685,0.3050660490989685,1,1,False,neither
