iFA,n_ROI,lemma_sum_significant,lemma_mean_significant,shared_significant,shared_same_direction,shared_opposite_direction,lemma_mean_only,lemma_sum_only,FDR_jaccard,sum_result_retained,mean_result_shared,pearson_r_effect,spearman_rho_effect,mean_delta,mean_absolute_delta,rmse,all_ROI_sign_reversals
1,360,32,31,25,25,0,6,7,0.6578947368421053,0.78125,0.8064516129032258,0.9752878626457662,0.9689318590421221,-0.10570387795774473,0.35179240500761405,0.4532821697702499,27
2,360,44,42,38,38,0,4,6,0.7916666666666666,0.8636363636363636,0.9047619047619048,0.990059228786661,0.9889405010841132,-0.04934659068369203,0.22188887381926178,0.2866538617102323,15
3,360,27,28,26,26,0,2,1,0.896551724137931,0.9629629629629629,0.9285714285714286,0.998737173337371,0.9983731870359082,-0.0028797005523099693,0.06785338173503988,0.08821403864320937,5
4,360,17,15,15,15,0,0,2,0.8823529411764706,0.8823529411764706,1.0,0.9967517224908056,0.9948515549245492,-0.02892847191283686,0.10637279308349308,0.13564838585892378,7
5,360,18,16,16,16,0,0,2,0.8888888888888888,0.8888888888888888,1.0,0.9961654103373229,0.9947013480042284,0.006924731716733527,0.1207946291998572,0.15165120602838097,10
6,360,133,138,129,129,0,9,4,0.9084507042253521,0.9699248120300752,0.9347826086956522,0.9958453414050006,0.9951931213461008,-0.008242573037407266,0.224886029523461,0.2851821843685054,10
7,360,19,17,16,16,0,1,3,0.8,0.8421052631578947,0.9411764705882353,0.993757436758277,0.9937586966977625,0.010660146648943823,0.15126361741503286,0.1964100132859314,6
8,360,30,38,30,30,0,8,0,0.7894736842105263,1.0,0.7894736842105263,0.9880387533905285,0.984998341036582,-0.06467615126683894,0.256521638102519,0.31244283546814827,25
All,2880,320,325,295,295,0,30,25,0.8428571428571429,0.921875,0.9076923076923077,0.9921766768685281,0.9910530573101197,-0.030274060880644056,0.18767167098578486,0.2632351012855007,105
