Word,DPoS_VanH,Lemma_spacy,PoS_tag_spacy,Lemma,PoS_tag,idx
'em,,them,NOUN,'em,NOUN,0
'neath,,'neath,PUNCT,'neath,PUNCT,1
're,,be,AUX,'re,AUX,2
'shun,,'shun,PROPN,'shun,PROPN,3
'tis,,'tis,VERB,'tis,VERB,4
'twas,,'twa,VERB,'twas,VERB,5
'tween,,'tween,VERB,'tween,VERB,6
'twere,,'twere,VERB,'twere,VERB,7
'twill,,'twill,VERB,'twill,VERB,8
'twixt,,'twixt,VERB,'twixt,VERB,9
'twould,,'twould,AUX,'twould,AUX,10
'un,,'un,VERB,'un,VERB,11
've,,have,AUX,'ve,AUX,12
_clair,,_clair,PUNCT,_clair,PUNCT,13
_clairs,,_clairs,PUNCT,_clairs,PUNCT,14
_clat,,_clat,PUNCT,_clat,PUNCT,15
_cru,,_cru,X,_cru,X,16
_lan,,_lan,PROPN,_lan,PROPN,17
_p_e,,_p_e,NOUN,_p_e,NOUN,18
a,determiner,a,PRON,a,PRON,19
a's,,a's,ADV,a's,ADV,20
AA,,AA,PROPN,AA,PROPN,21
AAAWWW,,AAAWWW,PROPN,AAAWWW,PROPN,22
aah,noun,aah,PROPN,aah,PROPN,23
aardvark,name,aardvark,PROPN,aardvark,PROPN,24
aardwolf,noun,aardwolf,NOUN,aardwolf,NOUN,25
Aaron,,Aaron,PROPN,Aaron,PROPN,26
AAs,,aa,NOUN,aa,NOUN,27
abaca,noun,abaca,PROPN,abaca,PROPN,28
abaci,,abaci,NOUN,abaci,NOUN,29
aback,adverb,aback,ADV,aback,ADV,30
abacus,noun,abacus,NOUN,abacus,NOUN,31
abacuses,noun,abacus,NOUN,abacus,NOUN,32
abaft,,abaft,NOUN,abaft,NOUN,33
abalone,noun,abalone,PROPN,abalone,PROPN,34
abandon,verb,abandon,VERB,abandon,VERB,35
abandoned,verb,abandon,VERB,abandon,VERB,36
abandonee,,abandonee,NOUN,abandonee,NOUN,37
abandoner,noun,abandoner,NOUN,abandoner,NOUN,38
abandoning,verb,abandon,VERB,abandon,VERB,39
abandonment,noun,abandonment,NOUN,abandonment,NOUN,40
abandons,verb,abandon,NOUN,abandon,NOUN,41
ABARINGE,,ABARINGE,PROPN,ABARINGE,PROPN,42
abase,verb,abase,NOUN,abase,NOUN,43
abased,,abase,VERB,abase,VERB,44
abasement,noun,abasement,NOUN,abasement,NOUN,45
abases,,abase,VERB,abase,VERB,46
abash,,abash,PROPN,abash,PROPN,47
abashed,adjective,abash,VERB,abash,VERB,48
abashedly,,abashedly,ADV,abashedly,ADV,49
abashes,,abashe,NOUN,abashe,NOUN,50
abashing,,abash,VERB,abash,VERB,51
abashment,,abashment,ADJ,abashment,ADJ,52
abasing,,abase,VERB,abase,VERB,53
abatable,,abatable,ADJ,abatable,ADJ,54
abate,verb,abate,VERB,abate,VERB,55
abated,verb,abate,VERB,abate,VERB,56
abatement,noun,abatement,NOUN,abatement,NOUN,57
abates,verb,abate,NOUN,abate,NOUN,58
abating,verb,abate,VERB,abate,VERB,59
abattoir,noun,abattoir,PROPN,abattoir,PROPN,60
abattoirs,noun,abattoir,NOUN,abattoir,NOUN,61
ABATUNO,,ABATUNO,PROPN,ABATUNO,PROPN,62
abb_,,abb_,VERB,abb_,VERB,63
abb_s,,abb_,NOUN,abb_s,NOUN,64
abbacy,,abbacy,NOUN,abbacy,NOUN,65
ABBAS,,ABBAS,PROPN,ABBAS,PROPN,66
ABBAS'S,,ABBAS'S,PROPN,ABBAS'S,PROPN,67
abbatial,,abbatial,ADJ,abbatial,ADJ,68
abbe,name,abbe,NOUN,abbe,NOUN,69
ABBERATIONS,,abberation,NOUN,abberation,NOUN,70
abbes,,abbe,NOUN,abbe,NOUN,71
abbess,name,abbess,ADJ,abbess,ADJ,72
abbesses,noun,abbess,NOUN,abbess,NOUN,73
abbey,name,abbey,VERB,abbey,VERB,74
abbeys,noun,abbey,NOUN,abbey,NOUN,75
abbot,name,abbot,NOUN,abbot,NOUN,76
abbots,name,abbot,VERB,abbot,VERB,77
abbotship,,abbotship,NOUN,abbotship,NOUN,78
ABBOTT,,ABBOTT,PROPN,ABBOTT,PROPN,79
abbreviate,verb,abbreviate,VERB,abbreviate,VERB,80
abbreviated,adjective,abbreviate,VERB,abbreviate,VERB,81
abbreviates,verb,abbreviate,NOUN,abbreviate,NOUN,82
abbreviating,verb,abbreviate,VERB,abbreviate,VERB,83
abbreviation,noun,abbreviation,NOUN,abbreviation,NOUN,84
abbreviations,noun,abbreviation,NOUN,abbreviation,NOUN,85
abbreviator,,abbreviator,NOUN,abbreviator,NOUN,86
ABC,,ABC,PROPN,ABC,PROPN,87
ABC's,,ABC's,PROPN,ABC's,PROPN,88
ABCs,,abc,NOUN,abc,NOUN,89
ABDALLAH,,ABDALLAH,PROPN,ABDALLAH,PROPN,90
abdicable,,abdicable,ADJ,abdicable,ADJ,91
abdicant,,abdicant,ADJ,abdicant,ADJ,92
abdicate,verb,abdicate,VERB,abdicate,VERB,93
abdicated,verb,abdicate,VERB,abdicate,VERB,94
abdicates,verb,abdicate,NOUN,abdicate,NOUN,95
abdicating,verb,abdicate,VERB,abdicate,VERB,96
abdication,noun,abdication,NOUN,abdication,NOUN,97
abdications,,abdication,NOUN,abdication,NOUN,98
abdicative,,abdicative,NOUN,abdicative,NOUN,99
abdicator,,abdicator,NOUN,abdicator,NOUN,100
abdomen,noun,abdomen,PROPN,abdomen,PROPN,101
abdomens,noun,abdomen,NOUN,abdomen,NOUN,102
abdominal,adjective,abdominal,ADJ,abdominal,ADJ,103
abdominally,,abdominally,ADV,abdominally,ADV,104
ABDOMINIS,,abdominis,NOUN,abdominis,NOUN,105
abduct,verb,abduct,NOUN,abduct,NOUN,106
abducted,noun,abduct,VERB,abduct,VERB,107
abductee,,abductee,NOUN,abductee,NOUN,108
abducting,verb,abduct,VERB,abduct,VERB,109
abduction,noun,abduction,NOUN,abduction,NOUN,110
abductions,noun,abduction,NOUN,abduction,NOUN,111
abductor,noun,abductor,NOUN,abductor,NOUN,112
abducts,verb,abduct,VERB,abduct,VERB,113
Abe,,Abe,PROPN,Abe,PROPN,114
abeam,verb,abeam,ADJ,abeam,ADJ,115
abecedarian,,abecedarian,PROPN,abecedarian,PROPN,116
abecedary,,abecedary,NOUN,abecedary,NOUN,117
abed,name,abe,VERB,abe,VERB,118
Abel,,Abel,PROPN,Abel,PROPN,119
Abel's,,abel's,ADJ,Abel's,ADJ,120
abele,,abele,PROPN,abele,PROPN,121
ABELL,,ABELL,PROPN,ABELL,PROPN,122
ABELSON,,abelson,NOUN,abelson,NOUN,123
ABER,,ABER,PROPN,ABER,PROPN,124
ABERNATHY,,ABERNATHY,PROPN,ABERNATHY,PROPN,125
ABERNATHYS,,abernathy,NOUN,abernathy,NOUN,126
aberrance,,aberrance,NOUN,aberrance,NOUN,127
aberrancy,,aberrancy,NOUN,aberrancy,NOUN,128
aberrant,adjective,aberrant,NOUN,aberrant,NOUN,129
aberration,noun,aberration,NOUN,aberration,NOUN,130
aberrational,,aberrational,ADJ,aberrational,ADJ,131
aberrations,noun,aberration,NOUN,aberration,NOUN,132
abet,verb,abet,NOUN,abet,NOUN,133
abetment,,abetment,NOUN,abetment,NOUN,134
abets,,abet,NOUN,abet,NOUN,135
abetted,verb,abet,VERB,abet,VERB,136
abetting,verb,abet,VERB,abet,VERB,137
abettor,,abettor,NOUN,abettor,NOUN,138
abettors,,abettor,NOUN,abettor,NOUN,139
abeyance,noun,abeyance,NOUN,abeyance,NOUN,140
abeyant,,abeyant,NOUN,abeyant,NOUN,141
abhor,verb,abhor,NOUN,abhor,NOUN,142
abhorred,adjective,abhor,VERB,abhor,VERB,143
abhorrence,noun,abhorrence,NOUN,abhorrence,NOUN,144
abhorrent,adjective,abhorrent,NOUN,abhorrent,NOUN,145
abhorrently,,abhorrently,ADV,abhorrently,ADV,146
abhorrer,,abhorrer,PROPN,abhorrer,PROPN,147
abhorring,verb,abhorring,NOUN,abhorring,NOUN,148
abhors,verb,abhor,NOUN,abhor,NOUN,149
abidance,,abidance,ADV,abidance,ADV,150
abide,verb,abide,NOUN,abide,NOUN,151
abided,verb,abide,VERB,abide,VERB,152
abider,,abider,NOUN,abider,NOUN,153
abides,noun,abide,NOUN,abide,NOUN,154
abiding,verb,abide,VERB,abide,VERB,155
abidingly,,abidingly,ADV,abidingly,ADV,156
abidingness,,abidingness,NOUN,abidingness,NOUN,157
Abigail,,Abigail,PROPN,Abigail,PROPN,158
ABILENE,,ABILENE,NOUN,ABILENE,NOUN,159
abilities,noun,ability,NOUN,ability,NOUN,160
ability,noun,ability,NOUN,ability,NOUN,161
abiogenesis,,abiogenesis,NOUN,abiogenesis,NOUN,162
abiogenetically,,abiogenetically,ADV,abiogenetically,ADV,163
abiotic,,abiotic,ADJ,abiotic,ADJ,164
abject,adjective,abject,VERB,abject,VERB,165
abjection,noun,abjection,NOUN,abjection,NOUN,166
abjections,,abjection,NOUN,abjection,NOUN,167
abjectly,adverb,abjectly,ADV,abjectly,ADV,168
abjectness,,abjectness,NOUN,abjectness,NOUN,169
abjudicate,,abjudicate,VERB,abjudicate,VERB,170
abjuration,,abjuration,NOUN,abjuration,NOUN,171
abjurations,,abjuration,NOUN,abjuration,NOUN,172
abjuratory,,abjuratory,NOUN,abjuratory,NOUN,173
abjure,verb,abjure,VERB,abjure,VERB,174
abjured,,abjure,VERB,abjure,VERB,175
abjurer,,abjurer,NOUN,abjurer,NOUN,176
abjures,,abjure,NOUN,abjure,NOUN,177
abjuring,,abjure,VERB,abjure,VERB,178
ABLARD,,ablard,VERB,ablard,VERB,179
ablate,,ablate,NOUN,ablate,NOUN,180
ABLATED,,ABLATED,PROPN,ABLATED,PROPN,181
ablation,noun,ablation,NOUN,ablation,NOUN,182
ABLATION,,ABLATION,PUNCT,ABLATION,PUNCT,183
ablative,adjective,ablative,ADJ,ablative,ADJ,184
ablatives,,ablative,NOUN,ablative,NOUN,185
ablator,,ablator,NOUN,ablator,NOUN,186
ablaut,,ablaut,PROPN,ablaut,PROPN,187
ablauts,,ablaut,NOUN,ablaut,NOUN,188
ablaze,noun,ablaze,ADJ,ablaze,ADJ,189
able,adjective,able,ADJ,able,ADJ,190
abler,noun,abler,NOUN,abler,NOUN,191
ablest,adjective,ablest,ADV,ablest,ADV,192
abloom,,abloom,NOUN,abloom,NOUN,193
ablution,noun,ablution,NOUN,ablution,NOUN,194
ablutionary,,ablutionary,ADJ,ablutionary,ADJ,195
ablutions,noun,ablution,NOUN,ablution,NOUN,196
ably,adverb,ably,ADV,ably,ADV,197
abnegate,verb,abnegate,PROPN,abnegate,PROPN,198
abnegated,,abnegate,VERB,abnegate,VERB,199
abnegates,,abnegate,NOUN,abnegate,NOUN,200
abnegating,,abnegate,VERB,abnegate,VERB,201
abnegation,noun,abnegation,NOUN,abnegation,NOUN,202
abnegator,,abnegator,ADV,abnegator,ADV,203
ABNER,,ABNER,PROPN,ABNER,PROPN,204
abnormal,adjective,abnormal,ADJ,abnormal,ADJ,205
abnormalities,noun,abnormality,NOUN,abnormality,NOUN,206
abnormality,noun,abnormality,NOUN,abnormality,NOUN,207
abnormally,adverb,abnormally,ADV,abnormally,ADV,208
abnormity,,abnormity,NOUN,abnormity,NOUN,209
abo,noun,abo,ADJ,abo,ADJ,210
aboard,preposition,aboard,ADP,aboard,ADP,211
abode,noun,abode,VERB,abode,VERB,212
abodes,noun,abode,VERB,abode,VERB,213
abolish,verb,abolish,VERB,abolish,VERB,214
abolishable,,abolishable,ADJ,abolishable,ADJ,215
abolished,verb,abolish,VERB,abolish,VERB,216
abolisher,,abolisher,ADV,abolisher,ADV,217
abolishes,verb,abolishe,NOUN,abolishe,NOUN,218
abolishing,verb,abolish,VERB,abolish,VERB,219
abolishment,noun,abolishment,NOUN,abolishment,NOUN,220
abolition,noun,abolition,NOUN,abolition,NOUN,221
abolitionary,,abolitionary,NOUN,abolitionary,NOUN,222
abolitionism,,abolitionism,NOUN,abolitionism,NOUN,223
abolitionist,noun,abolitionist,NOUN,abolitionist,NOUN,224
abolitionists,noun,abolitionist,NOUN,abolitionist,NOUN,225
abominable,adjective,abominable,ADJ,abominable,ADJ,226
abominableness,,abominableness,ADJ,abominableness,ADJ,227
abominably,adverb,abominably,ADV,abominably,ADV,228
abominate,adjective,abominate,VERB,abominate,VERB,229
abominated,verb,abominate,VERB,abominate,VERB,230
abominates,,abominate,NOUN,abominate,NOUN,231
abominating,,abominate,VERB,abominate,VERB,232
abomination,noun,abomination,NOUN,abomination,NOUN,233
abominations,noun,abomination,NOUN,abomination,NOUN,234
abominator,name,abominator,NOUN,abominator,NOUN,235
aboriginal,adjective,aboriginal,ADJ,aboriginal,ADJ,236
aboriginality,,aboriginality,NOUN,aboriginality,NOUN,237
aboriginals,name,aboriginal,NOUN,aboriginal,NOUN,238
aborigine,name,aborigine,VERB,aborigine,VERB,239
aborigines,name,aborigine,NOUN,aborigine,NOUN,240
abort,verb,abort,ADJ,abort,ADJ,241
aborted,adjective,abort,VERB,abort,VERB,242
aborting,verb,abort,VERB,abort,VERB,243
abortion,noun,abortion,NOUN,abortion,NOUN,244
abortionist,noun,abortionist,NOUN,abortionist,NOUN,245
abortionists,noun,abortionist,NOUN,abortionist,NOUN,246
abortions,noun,abortion,NOUN,abortion,NOUN,247
abortive,adjective,abortive,ADJ,abortive,ADJ,248
abortively,,abortively,ADV,abortively,ADV,249
abortiveness,,abortiveness,ADJ,abortiveness,ADJ,250
aborts,verb,abort,VERB,abort,VERB,251
abos,noun,abo,NOUN,abo,NOUN,252
abound,verb,abound,PROPN,abound,PROPN,253
abounded,verb,abound,VERB,abound,VERB,254
abounding,verb,abound,VERB,abound,VERB,255
abounds,verb,abound,VERB,abound,VERB,256
about,preposition,about,ADV,about,ADV,257
above,preposition,above,ADP,above,ADP,258
aboveboard,,aboveboard,PROPN,aboveboard,PROPN,259
aboveground,,aboveground,ADV,aboveground,ADV,260
abovementioned,,abovementione,VERB,abovementione,VERB,261
ABRA,,abra,NOUN,abra,NOUN,262
abracadabra,name,abracadabra,PROPN,abracadabra,PROPN,263
abrade,adjective,abrade,NOUN,abrade,NOUN,264
abraded,adjective,abrade,VERB,abrade,VERB,265
abrader,,abrader,VERB,abrader,VERB,266
abrades,verb,abrade,NOUN,abrade,NOUN,267
abrading,verb,abrade,VERB,abrade,VERB,268
Abraham,,Abraham,PROPN,Abraham,PROPN,269
ABRAMS,,ABRAMS,PROPN,ABRAMS,PROPN,270
abrasion,noun,abrasion,NOUN,abrasion,NOUN,271
abrasions,noun,abrasion,NOUN,abrasion,NOUN,272
abrasive,adjective,abrasive,VERB,abrasive,VERB,273
abrasively,,abrasively,ADV,abrasively,ADV,274
abrasiveness,noun,abrasiveness,NOUN,abrasiveness,NOUN,275
abrasives,noun,abrasive,NOUN,abrasive,NOUN,276
abreact,,abreact,VERB,abreact,VERB,277
abreaction,,abreaction,NOUN,abreaction,NOUN,278
ABREACTION,,abreaction,NOUN,abreaction,NOUN,279
abreast,noun,abreast,NOUN,abreast,NOUN,280
abridge,name,abridge,VERB,abridge,VERB,281
abridged,adjective,abridge,VERB,abridge,VERB,282
abridgement,noun,abridgement,ADJ,abridgement,ADJ,283
abridger,,abridger,NOUN,abridger,NOUN,284
abridges,,abridge,NOUN,abridge,NOUN,285
abridging,,abridge,VERB,abridge,VERB,286
abridgment,,abridgment,PROPN,abridgment,PROPN,287
abridgments,,abridgment,NOUN,abridgment,NOUN,288
abroad,adverb,abroad,ADV,abroad,ADV,289
ABROADE,,abroade,NOUN,abroade,NOUN,290
abrogable,,abrogable,ADJ,abrogable,ADJ,291
abrogate,verb,abrogate,VERB,abrogate,VERB,292
abrogated,adjective,abrogate,VERB,abrogate,VERB,293
abrogates,,abrogate,NOUN,abrogate,NOUN,294
abrogating,verb,abrogate,VERB,abrogate,VERB,295
abrogation,noun,abrogation,NOUN,abrogation,NOUN,296
abrogations,,abrogation,NOUN,abrogation,NOUN,297
abrogative,,abrogative,ADJ,abrogative,ADJ,298
abrupt,adjective,abrupt,ADJ,abrupt,ADJ,299
abruption,noun,abruption,NOUN,abruption,NOUN,300
abruptly,adverb,abruptly,ADV,abruptly,ADV,301
abruptness,noun,abruptness,ADV,abruptness,ADV,302
abs,name,ab,NOUN,ab,NOUN,303
abscess,noun,abscess,VERB,abscess,VERB,304
abscessed,,abscesse,VERB,abscesse,VERB,305
abscesses,noun,abscess,NOUN,abscess,NOUN,306
abscise,,abscise,NOUN,abscise,NOUN,307
abscissa,,abscissa,ADV,abscissa,ADV,308
abscission,,abscission,NOUN,abscission,NOUN,309
abscond,verb,abscond,ADP,abscond,ADP,310
absconded,verb,abscond,VERB,abscond,VERB,311
absconder,,absconder,PROPN,absconder,PROPN,312
absconding,verb,abscond,VERB,abscond,VERB,313
absconds,noun,abscond,VERB,abscond,VERB,314
abseil,verb,abseil,PROPN,abseil,PROPN,315
absence,noun,absence,NOUN,absence,NOUN,316
absences,noun,absence,NOUN,absence,NOUN,317
absent,adjective,absent,VERB,absent,VERB,318
absented,adjective,absent,VERB,absent,VERB,319
absentee,adjective,absentee,NOUN,absentee,NOUN,320
absenteeism,noun,absenteeism,NOUN,absenteeism,NOUN,321
absentees,noun,absentee,NOUN,absentee,NOUN,322
absenter,,absenter,NOUN,absenter,NOUN,323
ABSENTIA,,absentia,NOUN,absentia,NOUN,324
absenting,adjective,absent,VERB,absent,VERB,325
absently,,absently,ADV,absently,ADV,326
absentminded,adjective,absentminde,VERB,absentminde,VERB,327
absentmindedly,adverb,absentmindedly,ADV,absentmindedly,ADV,328
absentmindedness,,absentmindedness,ADV,absentmindedness,ADV,329
absentness,,absentness,VERB,absentness,VERB,330
absents,,absent,NOUN,absent,NOUN,331
absinth,,absinth,NOUN,absinth,NOUN,332
absinthe,noun,absinthe,ADP,absinthe,ADP,333
ABSINTHE,,ABSINTHE,PROPN,ABSINTHE,PROPN,334
absinthian,,absinthian,PROPN,absinthian,PROPN,335
absolute,adjective,absolute,VERB,absolute,VERB,336
absolutely,adverb,absolutely,ADV,absolutely,ADV,337
absoluteness,,absoluteness,NOUN,absoluteness,NOUN,338
absolutes,noun,absolute,VERB,absolute,VERB,339
absolution,noun,absolution,NOUN,absolution,NOUN,340
absolutism,noun,absolutism,NOUN,absolutism,NOUN,341
absolutist,adjective,absolutist,NOUN,absolutist,NOUN,342
absolutistic,,absolutistic,ADJ,absolutistic,ADJ,343
absolutory,,absolutory,NOUN,absolutory,NOUN,344
absolvable,,absolvable,PROPN,absolvable,PROPN,345
absolve,verb,absolve,VERB,absolve,VERB,346
absolved,adjective,absolve,VERB,absolve,VERB,347
absolvent,,absolvent,PROPN,absolvent,PROPN,348
absolver,,absolver,VERB,absolver,VERB,349
absolves,verb,absolve,NOUN,absolve,NOUN,350
absolving,verb,absolve,VERB,absolve,VERB,351
absorb,verb,absorb,VERB,absorb,VERB,352
absorbability,,absorbability,NOUN,absorbability,NOUN,353
absorbable,adjective,absorbable,ADJ,absorbable,ADJ,354
absorbance,,absorbance,NOUN,absorbance,NOUN,355
absorbed,verb,absorb,VERB,absorb,VERB,356
absorbedly,,absorbedly,ADV,absorbedly,ADV,357
absorbedness,,absorbedness,VERB,absorbedness,VERB,358
absorbency,noun,absorbency,NOUN,absorbency,NOUN,359
absorbent,adjective,absorbent,VERB,absorbent,VERB,360
absorbents,,absorbent,NOUN,absorbent,NOUN,361
absorber,noun,absorber,VERB,absorber,VERB,362
absorbing,verb,absorb,VERB,absorb,VERB,363
absorbingly,,absorbingly,ADV,absorbingly,ADV,364
absorbs,verb,absorb,VERB,absorb,VERB,365
absorption,noun,absorption,NOUN,absorption,NOUN,366
absorptions,,absorption,NOUN,absorption,NOUN,367
absorptive,,absorptive,ADJ,absorptive,ADJ,368
absorptiveness,,absorptiveness,ADV,absorptiveness,ADV,369
absorptivity,,absorptivity,NOUN,absorptivity,NOUN,370
abstain,verb,abstain,VERB,abstain,VERB,371
abstained,verb,abstain,VERB,abstain,VERB,372
abstainer,,abstainer,NOUN,abstainer,NOUN,373
abstainers,noun,abstainer,NOUN,abstainer,NOUN,374
abstaining,verb,abstain,VERB,abstain,VERB,375
abstains,verb,abstain,NOUN,abstain,NOUN,376
abstemious,adjective,abstemious,ADJ,abstemious,ADJ,377
abstemiously,,abstemiously,ADV,abstemiously,ADV,378
abstemiousness,,abstemiousness,ADJ,abstemiousness,ADJ,379
abstention,noun,abstention,NOUN,abstention,NOUN,380
abstentions,noun,abstention,NOUN,abstention,NOUN,381
abstentious,,abstentious,ADJ,abstentious,ADJ,382
abstergent,,abstergent,ADJ,abstergent,ADJ,383
abstinence,noun,abstinence,NOUN,abstinence,NOUN,384
abstinent,adjective,abstinent,ADJ,abstinent,ADJ,385
abstinently,,abstinently,ADV,abstinently,ADV,386
abstract,adjective,abstract,ADJ,abstract,ADJ,387
abstracted,adjective,abstract,VERB,abstract,VERB,388
abstractedly,,abstractedly,ADV,abstractedly,ADV,389
abstractedness,,abstractedness,NOUN,abstractedness,NOUN,390
abstracter,,abstracter,VERB,abstracter,VERB,391
abstracting,verb,abstract,VERB,abstract,VERB,392
abstraction,noun,abstraction,NOUN,abstraction,NOUN,393
abstractionism,,abstractionism,NOUN,abstractionism,NOUN,394
abstractionist,,abstractionist,NOUN,abstractionist,NOUN,395
abstractionists,,abstractionist,NOUN,abstractionist,NOUN,396
abstractions,noun,abstraction,NOUN,abstraction,NOUN,397
abstractive,,abstractive,VERB,abstractive,VERB,398
abstractly,adverb,abstractly,ADV,abstractly,ADV,399
abstractness,,abstractness,NOUN,abstractness,NOUN,400
abstractor,,abstractor,NOUN,abstractor,NOUN,401
abstractors,,abstractor,NOUN,abstractor,NOUN,402
abstracts,noun,abstract,NOUN,abstract,NOUN,403
abstruse,adjective,abstruse,NOUN,abstruse,NOUN,404
abstrusely,,abstrusely,ADV,abstrusely,ADV,405
abstruseness,,abstruseness,NOUN,abstruseness,NOUN,406
ABSTRUSENESSES,,ABSTRUSENESSES,PROPN,ABSTRUSENESSES,PROPN,407
absurd,adjective,absurd,ADJ,absurd,ADJ,408
absurdist,adjective,absurdist,NOUN,absurdist,NOUN,409
absurdities,noun,absurdity,NOUN,absurdity,NOUN,410
absurdity,noun,absurdity,NOUN,absurdity,NOUN,411
absurdly,adverb,absurdly,ADV,absurdly,ADV,412
absurdness,,absurdness,NOUN,absurdness,NOUN,413
abundance,noun,abundance,NOUN,abundance,NOUN,414
abundant,adjective,abundant,ADJ,abundant,ADJ,415
abundantly,adverb,abundantly,ADV,abundantly,ADV,416
abuse,noun,abuse,NOUN,abuse,NOUN,417
abused,verb,abuse,VERB,abuse,VERB,418
abuser,noun,abuser,NOUN,abuser,NOUN,419
abusers,noun,abuser,NOUN,abuser,NOUN,420
abuses,noun,abuse,NOUN,abuse,NOUN,421
abusing,verb,abuse,VERB,abuse,VERB,422
abusive,adjective,abusive,ADJ,abusive,ADJ,423
abusively,adverb,abusively,ADV,abusively,ADV,424
abusiveness,,abusiveness,NOUN,abusiveness,NOUN,425
abut,noun,abut,PROPN,abut,PROPN,426
abutilon,,abutilon,PROPN,abutilon,PROPN,427
abutment,noun,abutment,PROPN,abutment,PROPN,428
abutments,noun,abutment,NOUN,abutment,NOUN,429
abuttal,,abuttal,PROPN,abuttal,PROPN,430
abutter,,abutter,NOUN,abutter,NOUN,431
abutting,verb,abut,VERB,abut,VERB,432
abuzz,adjective,abuzz,PROPN,abuzz,PROPN,433
abysm,,abysm,NOUN,abysm,NOUN,434
abysmal,adjective,abysmal,ADJ,abysmal,ADJ,435
abysmally,adverb,abysmally,ADV,abysmally,ADV,436
abyss,noun,abyss,PROPN,abyss,PROPN,437
abyssal,adjective,abyssal,NOUN,abyssal,NOUN,438
abysses,noun,abyss,NOUN,abyss,NOUN,439
ABYSSINIANS,,abyssinian,NOUN,abyssinian,NOUN,440
acacia,noun,acacia,PROPN,acacia,PROPN,441
acacias,noun,acacia,NOUN,acacia,NOUN,442
academe,noun,academe,NOUN,academe,NOUN,443
ACADEMEH,,ACADEMEH,PROPN,ACADEMEH,PROPN,444
academia,noun,academia,NOUN,academia,NOUN,445
academic,adjective,academic,ADJ,academic,ADJ,446
academically,adverb,academically,ADV,academically,ADV,447
academicals,name,academical,NOUN,academical,NOUN,448
academician,name,academician,PROPN,academician,PROPN,449
academicians,name,academician,NOUN,academician,NOUN,450
academicianship,,academicianship,NOUN,academicianship,NOUN,451
academicism,,academicism,NOUN,academicism,NOUN,452
academics,noun,academic,NOUN,academic,NOUN,453
academies,noun,academy,NOUN,academy,NOUN,454
academism,,academism,NOUN,academism,NOUN,455
academy,name,academy,NOUN,academy,NOUN,456
Acadia,,Acadia,PROPN,Acadia,PROPN,457
acajou,,acajou,NOUN,acajou,NOUN,458
ACALA,,ACALA,NOUN,ACALA,NOUN,459
acanthine,,acanthine,NOUN,acanthine,NOUN,460
acanthocephalan,,acanthocephalan,PROPN,acanthocephalan,PROPN,461
acanthodian,,acanthodian,PROPN,acanthodian,PROPN,462
acanthus,noun,acanthus,ADV,acanthus,ADV,463
Acapulco,,Acapulco,PROPN,Acapulco,PROPN,464
acatalectic,,acatalectic,ADJ,acatalectic,ADJ,465
ACCACIA,,ACCACIA,PROPN,ACCACIA,PROPN,466
ACCADEMIA,,ACCADEMIA,PROPN,ACCADEMIA,PROPN,467
ACCARDO,,ACCARDO,PROPN,ACCARDO,PROPN,468
accede,verb,accede,VERB,accede,VERB,469
acceded,verb,accede,VERB,accede,VERB,470
accedes,,accede,NOUN,accede,NOUN,471
acceding,verb,accede,VERB,accede,VERB,472
accelerando,noun,accelerando,PROPN,accelerando,PROPN,473
accelerandos,,accelerando,NOUN,accelerando,NOUN,474
accelerant,noun,accelerant,NOUN,accelerant,NOUN,475
accelerate,verb,accelerate,VERB,accelerate,VERB,476
accelerated,verb,accelerate,VERB,accelerate,VERB,477
accelerates,verb,accelerate,VERB,accelerate,VERB,478
accelerating,verb,accelerate,VERB,accelerate,VERB,479
acceleration,noun,acceleration,NOUN,acceleration,NOUN,480
accelerations,noun,acceleration,NOUN,acceleration,NOUN,481
accelerative,,accelerative,ADJ,accelerative,ADJ,482
accelerator,noun,accelerator,NOUN,accelerator,NOUN,483
accelerators,noun,accelerator,NOUN,accelerator,NOUN,484
acceleratory,,acceleratory,ADV,acceleratory,ADV,485
accelerometer,noun,accelerometer,NOUN,accelerometer,NOUN,486
accelerometers,noun,accelerometer,NOUN,accelerometer,NOUN,487
accent,noun,accent,NOUN,accent,NOUN,488
accented,adjective,accented,ADJ,accented,ADJ,489
accenting,,accent,VERB,accent,VERB,490
accentor,,accentor,NOUN,accentor,NOUN,491
accents,noun,accent,NOUN,accent,NOUN,492
accentual,,accentual,ADJ,accentual,ADJ,493
accentually,,accentually,ADV,accentually,ADV,494
accentuate,verb,accentuate,NOUN,accentuate,NOUN,495
accentuated,verb,accentuate,VERB,accentuate,VERB,496
accentuates,verb,accentuate,NOUN,accentuate,NOUN,497
accentuating,verb,accentuate,VERB,accentuate,VERB,498
accentuation,,accentuation,NOUN,accentuation,NOUN,499
accentuations,,accentuation,NOUN,accentuation,NOUN,500
accept,verb,accept,VERB,accept,VERB,501
acceptability,noun,acceptability,NOUN,acceptability,NOUN,502
acceptable,adjective,acceptable,ADJ,acceptable,ADJ,503
acceptableness,,acceptableness,VERB,acceptableness,VERB,504
acceptably,adverb,acceptably,ADV,acceptably,ADV,505
acceptance,noun,acceptance,NOUN,acceptance,NOUN,506
acceptances,noun,acceptance,NOUN,acceptance,NOUN,507
acceptant,,acceptant,VERB,acceptant,VERB,508
acceptation,noun,acceptation,NOUN,acceptation,NOUN,509
acceptations,,acceptation,NOUN,acceptation,NOUN,510
