Comparison,N_words,Same_words,Different_words,Percent_different,Distinct_pipeline_lemmas_in_differences,Distinct_spacy_lemmas_in_differences,Distinct_lemma_pairs
Step 1: SUBTLEX-UK,61842,57423,4419,7.145629184049675,4315,4113,4369
Step 2: SUBTLEX-US + NLTK,5717,5219,498,8.710862340388315,493,494,498
Step 3: spaCy fallback,38433,38433,0,0.0,0,0,0
All words before Step 4,105992,101075,4917,4.639029360706468,4802,4586,4865
Step 4 special cases only,2108,1137,971,46.06261859582543,971,970,971
Final after Step 4,105992,100106,5886,5.5532493018341,5771,5553,5834
