Word,Lemma_spacy,PoS_tag_spacy,Spelling,DomPoSLemma,Dom_PoS_SUBTLEX,Pipeline_step,Pipeline_source,Lemma_before_step4,Step4_special_case,Lemma_pipeline_final
daring,dare,VERB,daring,daring,Adjective,1,Step 1: SUBTLEX-UK,daring,False,daring
darkened,darken,VERB,darkened,darkened,Adjective,1,Step 1: SUBTLEX-UK,darkened,False,darkened
darkens,darkens,PROPN,darkens,darken,Verb,1,Step 1: SUBTLEX-UK,darken,False,darken
darkies,darkie,NOUN,darkies,darky,Noun,1,Step 1: SUBTLEX-UK,darky,False,darky
darkling,darkle,VERB,darkling,darkling,Noun,1,Step 1: SUBTLEX-UK,darkling,False,darkling
darned,darn,VERB,darned,darned,Adjective,1,Step 1: SUBTLEX-UK,darned,False,darned
darnedest,darned,ADJ,darnedest,darnedest,Adjective,1,Step 1: SUBTLEX-UK,darnedest,False,darnedest
darning,darn,VERB,darning,darning,Verb,1,Step 1: SUBTLEX-UK,darning,False,darning
DARTMOUTH'S,dartmouth's,NOUN,,,,3,Step 3: spaCy fallback,dartmouth's,True,DARTMOUTH'S
Darwin's,darwin',NOUN,,,,3,Step 3: spaCy fallback,darwin',True,Darwin's
daunting,daunt,VERB,daunting,daunting,Adjective,1,Step 1: SUBTLEX-UK,daunting,False,daunting
Dave's,dave's,ADV,,,,3,Step 3: spaCy fallback,dave's,True,Dave's
davenports,davenport,NOUN,davenports,davenports,Name,1,Step 1: SUBTLEX-UK,davenports,False,davenports
David's,david's,X,,,,3,Step 3: spaCy fallback,david's,True,David's
DAVIDSON'S,davidson',NOUN,,,,3,Step 3: spaCy fallback,davidson',True,DAVIDSON'S
DAVY'S,davy',NOUN,,,,3,Step 3: spaCy fallback,davy',True,DAVY'S
day's,day',NOUN,,,,3,Step 3: spaCy fallback,day',True,day's
dazzling,dazzle,VERB,dazzling,dazzling,Adjective,1,Step 1: SUBTLEX-UK,dazzling,False,dazzling
deadlier,deadly,ADJ,deadlier,deadlier,Adjective,1,Step 1: SUBTLEX-UK,deadlier,False,deadlier
deadliest,deadly,ADJ,deadliest,deadliest,Adjective,1,Step 1: SUBTLEX-UK,deadliest,False,deadliest
dealings,dealing,NOUN,dealings,dealings,Noun,1,Step 1: SUBTLEX-UK,dealings,False,dealings
deans,dean,NOUN,deans,deans,Noun,1,Step 1: SUBTLEX-UK,deans,False,deans
deathbed,deathbe,VERB,deathbed,deathbed,Noun,1,Step 1: SUBTLEX-UK,deathbed,False,deathbed
debagged,debagge,VERB,debagged,debag,,1,Step 1: SUBTLEX-UK,debag,False,debag
debagging,debagge,VERB,,,Verb,2,Step 2: SUBTLEX-US + NLTK,debagging,False,debagging
debarked,debark,VERB,,,Adjective,2,Step 2: SUBTLEX-US + NLTK,debarked,False,debarked
debarking,debark,VERB,,,Adjective,2,Step 2: SUBTLEX-US + NLTK,debarking,False,debarking
debased,debase,VERB,debased,debased,Verb,1,Step 1: SUBTLEX-UK,debased,False,debased
debauched,debauch,VERB,debauched,debauched,Adjective,1,Step 1: SUBTLEX-UK,debauched,False,debauched
deboned,debone,VERB,deboned,deboned,Verb,1,Step 1: SUBTLEX-UK,deboned,False,deboned
deboning,debone,VERB,deboning,debon,,1,Step 1: SUBTLEX-UK,debon,False,debon
debriefing,debrief,VERB,debriefing,debriefing,Noun,1,Step 1: SUBTLEX-UK,debriefing,False,debriefing
debriefs,debrief,NOUN,,,Noun,2,Step 2: SUBTLEX-US + NLTK,debriefs,False,debriefs
debs,debs,NOUN,debs,deb,Name,1,Step 1: SUBTLEX-UK,deb,False,deb
decamps,decamp,NOUN,decamps,decamps,,1,Step 1: SUBTLEX-UK,decamps,False,decamps
deceased,decease,VERB,deceased,deceased,Adjective,1,Step 1: SUBTLEX-UK,deceased,False,deceased
deceit's,deceit',VERB,,,,3,Step 3: spaCy fallback,deceit',True,deceit's
decentralized,decentralize,VERB,,,Adjective,2,Step 2: SUBTLEX-US + NLTK,decentralized,False,decentralized
declutching,declutch,VERB,declutching,declutching,,1,Step 1: SUBTLEX-UK,declutching,False,declutching
decompresses,decompresse,NOUN,,,Noun,2,Step 2: SUBTLEX-US + NLTK,decompresses,False,decompresses
decreed,decreed,VERB,decreed,decree,Verb,1,Step 1: SUBTLEX-UK,decree,False,decree
decries,decrie,NOUN,decries,decry,,1,Step 1: SUBTLEX-UK,decry,False,decry
dedicated,dedicated,ADJ,dedicated,dedicate,Verb,1,Step 1: SUBTLEX-UK,dedicate,False,dedicate
DEEGAN'S,deegan',NOUN,,,,3,Step 3: spaCy fallback,deegan',True,DEEGAN'S
deeper,deeply,ADV,deeper,deeper,Adverb,1,Step 1: SUBTLEX-UK,deeper,False,deeper
deepest,deep,ADJ,deepest,deepest,Adjective,1,Step 1: SUBTLEX-UK,deepest,False,deepest
deflowering,deflowering,NOUN,,,Verb,2,Step 2: SUBTLEX-US + NLTK,deflower,False,deflower
degaussed,degauss,VERB,,,Adjective,2,Step 2: SUBTLEX-US + NLTK,degaussed,False,degaussed
degaussing,degauss,VERB,,,Adjective,2,Step 2: SUBTLEX-US + NLTK,degaussing,False,degaussing
degraded,degrade,VERB,degraded,degraded,Verb,1,Step 1: SUBTLEX-UK,degraded,False,degraded
delighted,delight,VERB,delighted,delighted,Adjective,1,Step 1: SUBTLEX-UK,delighted,False,delighted
delimited,delimited,ADJ,,,Verb,2,Step 2: SUBTLEX-US + NLTK,delimit,False,delimit
delineated,delineate,VERB,delineated,delineated,Verb,1,Step 1: SUBTLEX-UK,delineated,False,delineated
deliquesced,deliquesce,VERB,,,Adjective,2,Step 2: SUBTLEX-US + NLTK,deliquesced,False,deliquesced
delousing,delouse,VERB,delousing,delousing,Verb,1,Step 1: SUBTLEX-UK,delousing,False,delousing
DELPHINE'S,delphine',NOUN,,,,3,Step 3: spaCy fallback,delphine',True,DELPHINE'S
deluded,delude,VERB,deluded,deluded,Verb,1,Step 1: SUBTLEX-UK,deluded,False,deluded
delves,delf,NOUN,delves,delve,Verb,1,Step 1: SUBTLEX-UK,delve,False,delve
delving,delve,VERB,delving,delving,Verb,1,Step 1: SUBTLEX-UK,delving,False,delving
demeaning,demean,VERB,demeaning,demeaning,Adjective,1,Step 1: SUBTLEX-UK,demeaning,False,demeaning
demented,demente,VERB,demented,demented,Adjective,1,Step 1: SUBTLEX-UK,demented,False,demented
dementing,dementing,ADJ,dementing,dement,,1,Step 1: SUBTLEX-UK,dement,False,dement
demolishes,demolishe,NOUN,demolishes,demolish,Verb,1,Step 1: SUBTLEX-UK,demolish,False,demolish
demos,demos,PROPN,demos,demo,Noun,1,Step 1: SUBTLEX-UK,demo,False,demo
demurring,demur,VERB,,,Noun,2,Step 2: SUBTLEX-US + NLTK,demurring,False,demurring
demystifies,demystifie,NOUN,demystifies,demystify,,1,Step 1: SUBTLEX-UK,demystify,False,demystify
denims,denim,VERB,denims,denims,Noun,1,Step 1: SUBTLEX-UK,denims,False,denims
Denny's,denny's,VERB,,,,3,Step 3: spaCy fallback,denny's,True,Denny's
dens,dens,VERB,dens,den,Noun,1,Step 1: SUBTLEX-UK,den,False,den
densest,dense,ADJ,densest,densest,Adjective,1,Step 1: SUBTLEX-UK,densest,False,densest
dentures,denture,NOUN,dentures,dentures,Noun,1,Step 1: SUBTLEX-UK,dentures,False,dentures
Denver's,denver's,X,,,,3,Step 3: spaCy fallback,denver's,True,Denver's
deodorizing,deodorize,VERB,,,Adjective,2,Step 2: SUBTLEX-US + NLTK,deodorizing,False,deodorizing
