bash: warning: setlocale: LC_ALL: cannot change locale (C.UTF-8)
row=011 subject=sub-052 task=prettymouth
row=027 subject=sub-087 task=milkyway
row=043 subject=sub-097 task=milkyway
row=059 subject=sub-106 task=milkyway
row=075 subject=sub-145 task=slumlordreach
row=091 subject=sub-235 task=shapessocial
row=107 subject=sub-273 task=piemanpni
row=123 subject=sub-284 task=piemanpni
row=139 subject=sub-289 task=black
row=155 subject=sub-294 task=forgot
row=171 subject=sub-301 task=forgot
row=187 subject=sub-307 task=black
row=203 subject=sub-312 task=forgot
written=104 skipped=0 output_root=/work/desai-lab/xuanyang/Project/Semantic/analysis/ParametricModulation/Nastase/allstories/FactorAnalysis/models/Nvar113NFA8_LPAC_multipleReg_unsmoothed_lemmaMean/FA8_HCPex/results/firstlevel
