idx,Word,Lemma,PC1_n8,PC2_n8,PC3_n8,PC4_n8,PC5_n8,PC6_n8,PC7_n8,PC8_n8
35,abandon,abandon,-0.22612674573921104,0.08200941578625393,0.06122764243216071,-0.003827649757560844,-0.052977437333953444,-0.16564126844097804,0.07599767139941682,-0.023321190947255436
36,abandoned,abandon,-0.13440408271597093,0.11750299143274955,0.02756594134534113,-0.22440021946017955,0.10312707107353425,-0.21704997408091423,0.05396633311078973,-0.1956731010994598
39,abandoning,abandon,-0.25358787846698183,0.07444288730921601,0.03122404758420769,-0.054048281660527775,-0.013670568768956146,-0.1536984011217388,0.05304468021065932,-0.06608914564767834
41,abandons,abandon,-0.22612674573921043,0.08200941578625397,0.06122764243216157,-0.0038276497575603754,-0.052977437333953055,-0.1656412684409782,0.07599767139941736,-0.02332119094725513
101,abdomen,abdomen,0.21186199447507548,0.0061317843159556145,-0.0919497344338935,-0.0712689164285707,-0.21897494604801282,0.045270151923288426,-0.2707202376966591,-0.13403541588244197
102,abdomens,abdomen,0.2118619944750759,0.006131784315955249,-0.09194973443389294,-0.07126891642857104,-0.21897494604801254,0.0452701519232884,-0.27072023769665887,-0.13403541588244175
103,abdominal,abdominal,0.12227465062934872,-0.05474155936984357,-0.11588159326407382,0.016844314054164245,-0.14927121135946966,0.004016469333828924,-0.18384445139645408,0.009909256742368852
151,abide,abide,-0.27873003446276307,-0.059645759503830977,0.13016198587580285,-0.055591562010336396,-0.08746685706960892,0.044425720758035185,0.09209148752433276,-0.09863336152166287
152,abided,abide,-0.27873003446276234,-0.05964575950383102,0.1301619858758025,-0.055591562010336305,-0.08746685706960776,0.04442572075803525,0.0920914875243325,-0.0986333615216622
154,abides,abide,-0.2000059593388763,-0.05782465553501149,0.09647749301754936,0.048576509124716415,0.02684009089480715,0.0924128186826823,0.11790939768830176,-0.14313199246205383
155,abiding,abide,-0.20038129194499582,-0.006523640535586081,0.21447947085023103,0.12327699347583668,0.07996589835099432,0.027426661695504333,0.03947210055046251,-0.1300608281980807
160,abilities,ability,-0.0874310440480598,-0.12046417498353659,0.08623257701636712,0.23856204250708093,0.025359973306162933,0.12084382787809977,-0.15921896022682472,0.20927227946195154
