component,explained_variance,explained_variance_ratio,cumulative_explained_variance_ratio
PC1_n8,0.02282496994139036,0.024515624750475435,0.024515624750475435
PC2_n8,0.02129110322912003,0.02286814390682819,0.04738376865730362
PC3_n8,0.016979813638071113,0.01823751534187562,0.06562128399917924
PC4_n8,0.015204457921263998,0.016330658304884345,0.08195194230406358
PC5_n8,0.013026058358493207,0.013990903800294824,0.09594284610435841
PC6_n8,0.012327887928376729,0.013241019602393838,0.10918386570675225
PC7_n8,0.01143388554363372,0.012280798097319877,0.12146466380407211
PC8_n8,0.011206611323372433,0.012036689583105413,0.13350135338717753
