idx,Word,Lemma,PC1_n8,PC2_n8,PC3_n8,PC4_n8,PC5_n8,PC6_n8,PC7_n8,PC8_n8
35,abandon,abandon,-1.4967956234543967,0.5620569396521294,0.4698905994245441,-0.031042908165307807,-0.4641946339413256,-1.4919005973214392,0.71075356113273,-0.22030748318711338
36,abandoned,abandon,-0.8896578868900409,0.8053145011640422,0.21155439255751005,-1.819924979085941,0.9036117150147558,-1.9549294027249169,0.5047097198304854,-1.8484582767722184
39,abandoning,abandon,-1.6785684745501799,0.5101992377185003,0.23962847258180947,-0.4383410056696582,-0.11978315646854128,-1.3843333765738357,0.49609013887710074,-0.6243220329766261
41,abandons,abandon,-1.4967956234543927,0.5620569396521298,0.4698905994245507,-0.031042908165304004,-0.4641946339413222,-1.4919005973214408,0.7107535611327351,-0.2203074831871105
101,abdomen,abdomen,1.402373279949537,0.04202458820357308,-0.7056668216147911,-0.5780033618182829,-1.9186846332775145,0.4077399752541256,-2.531858798703616,-1.2661877001814956
102,abdomens,abdomen,1.4023732799495399,0.04202458820357057,-0.7056668216147869,-0.5780033618182857,-1.918684633277512,0.40773997525412536,-2.531858798703614,-1.2661877001814936
103,abdominal,abdominal,0.8093698130361773,-0.37517488737380855,-0.8893315038458058,0.13661032942163287,-1.3079321840012548,0.03617560439292227,-1.7193697664468912,0.09360943092930452
151,abide,abide,-1.8449913757230216,-0.40878614642648614,0.9989261571395052,-0.45085727889392574,-0.7663950493393087,0.40013433825499184,0.8612678717999794,-0.9317563448739531
152,abided,abide,-1.844991375723017,-0.4087861464264864,0.9989261571395024,-0.45085727889392496,-0.7663950493392985,0.4001343382549924,0.861267871799977,-0.9317563448739469
154,abides,abide,-1.323894896309547,-0.39630509027348526,0.7404150351734144,0.39396397456979904,0.23517608240144028,0.83234534902139,1.1027248961027885,-1.3521200136900808
155,abiding,abide,-1.3263793268900292,-0.04471020064791995,1.6460193977538624,0.9997979516820487,0.7006707530762154,0.24702692361134637,0.3691552058770803,-1.2286411009778568
160,abilities,ability,-0.5787303207207122,-0.8256091679208635,0.6617905850129587,1.9347798378487877,0.22220711529342807,1.0884182467981214,-1.4890646107603582,1.9769251618995332
161,ability,ability,-1.114247769978726,-1.045985927121007,-0.7279352648734901,1.7915427404426865,-0.3050023189770132,0.3903509295355545,-0.9443035103141173,1.294913556341108
190,able,able,-1.503465875313844,-0.3084385219206488,-0.8258895195973895,-0.2342951421215057,-0.3575354597092286,0.7979681635864596,0.17306501028838978,0.855611889209901
211,aboard,aboard,0.024476266377318544,0.2062041991354531,0.08227424615568245,-1.4423322215075298,0.5869974718516615,0.6445406812183503,-1.3239729148298132,0.25596595880832773
212,abode,abode,1.112349632815205,-0.30321803574720085,1.633692241462803,-0.8117019860069209,1.7413344341234225,0.03642484050552232,0.4362364993779009,-0.8226218908618338
213,abodes,abode,1.1123496328152127,-0.30321803574720446,1.6336922414627977,-0.8117019860069228,1.7413344341234231,0.036424840505523394,0.43623649937790115,-0.8226218908618395
