F1_n8,F2_n8,F3_n8,F4_n8,F5_n8,F6_n8,F7_n8,F8_n8
0.16070881739128853,0.49405030683787854,-0.2740228209665012,-0.8030121214762561,0.6648402275769907,-1.257530539574449,0.9758099890247051,-0.24010358529523462
0.40193056410351274,0.8610628991699038,-0.3013164800831035,-0.7703045593794885,0.8159864785116215,-1.0269024434123373,-0.4800042616204172,-0.33418625865214713
0.14028087556447622,0.9772173033016693,0.5005632043548156,-0.4891441656996021,1.0473990409406542,-1.2987865133529544,0.5723484115733344,-0.37772580487028456
0.08830495343573976,0.5864602138778007,-0.23324570536407216,-0.777023267417018,0.9483728758602427,-1.17386094210069,0.6663956538037831,-0.224983168803212
-1.213337567449602,0.7766022258297282,0.8122955865309641,-0.18477085302416543,0.16094097414052266,1.0804709394105056,0.5033769597890001,0.11930414615806569
-1.243908746653029,0.9033083861345795,0.8581935721043942,-0.14236044914013093,0.20919949181440667,1.0453290018672927,0.24692219616339242,0.1333006173915773
-1.4877030678608167,1.2552231435963348,0.47650562891317283,-0.35728840802174167,0.4028776245084906,0.7507759926618661,-0.6596503620659172,0.022114584083675677
-0.6914774228433356,-0.6626760228868173,-0.021231729153663677,-1.1035271423752113,-1.784276966838027,-1.720096920860733,0.05736755144152802,-0.6299175846314995
-0.701657599540191,-0.5143620913419061,0.037786510648010675,-1.0787857499045193,-0.5851268202960311,-1.7774745335021547,-0.267515970560686,-0.5860950763681055
-0.7253680439965763,-0.1656629091729568,0.26037284983222597,-1.0975288586253593,-1.5047885188014176,-1.6847465114744256,-0.23120401892306858,-0.7181177671981581
-0.6374014853912092,0.001815791805332522,0.5333924948574827,-0.9666780711108481,0.09292122263121885,-2.1353157543656653,-1.048783419830242,-0.6301978046341391
0.9340558228042809,1.3146438635373234,-0.32563358115171026,-0.32979642325289327,0.2193233602927057,-1.1963749991230164,-0.7923532240457946,-0.08396830407505798
0.8918877098911818,0.8923000350719087,0.11777025926652931,-0.046943911527853405,0.012243166012504038,-1.1218140672926387,2.6962988821010727,0.7803724609242715
1.7836404827686518,-0.26100172019377976,0.3986914527041307,-0.4045183641801563,-0.774743976485994,-1.2330100255586134,1.189715987168898,1.3453605712521919
-0.07234629615445802,-0.093600630074231,-0.9722048914784525,-0.18086911428106417,-1.551365495924099,-0.006579002764271045,-0.5578615453908143,-0.19250104338242152
-1.594712970303021,-0.9141849885866931,-0.3030047312357441,-1.032854413365295,-1.5589830464000336,-0.21718809607228007,-0.041681349937174185,-0.18682916034037292
-1.6555492175859279,-0.688077655434176,-0.3019410426735166,-0.996560274899398,-1.6740689320876503,-0.14143440591781273,-0.18386294465248879,-0.24915642547205114
-0.956966123690307,0.6317920901579946,0.543450010960931,-0.8301195955869747,-1.1187634192820082,-1.2302122044299733,0.9705107735076048,-0.41786866926086386
-0.9044768127956035,0.9386515387191264,0.5426871665306175,-0.9225295307339647,-1.0215123285003547,-1.2811828314633391,1.0332809297064798,-0.5073195760522841
-1.0140993156359215,0.9104598031401988,0.6054225011475596,-0.8204833073428842,-0.46458480675041375,-1.1990000443556765,0.6530509751862932,-0.43510483852195364
-0.9344052199301561,0.9977312580618511,0.6564869020581003,-0.8302069350301681,-0.3459256891102393,-1.284748517819268,0.7251071954196231,-0.4333882782576301
-1.884616160028432,0.895437922637113,0.7574570093842279,-0.0522564289704361,1.3462341359840355,-2.180088639935758,0.8051714371919713,-0.6339263431862898
-0.4984655582910575,0.66800361644754,-0.3651078196686624,-0.240323566566504,0.849678796288353,-1.0874038114466504,0.5999982685465948,-0.16043931334270978
-0.5806091986773,0.9668122929250289,-0.20469088042838507,-0.1790025203387478,0.9793217399306215,-0.890188467274979,0.35706844796512704,-0.2082228726047953
-1.2828069886886238,-0.4140443809059504,0.45491133569029374,0.0365608082770133,-1.0884775853257194,-2.076675634618222,0.41865630647064905,-0.7589761751636595
-1.3150658734649119,0.31363830345883453,0.25150491065569636,0.6917365921061382,-0.1438512791926561,-1.8330893617408663,0.1180429251825801,-0.9057408969560938
-1.3102730691712594,0.3185724210359175,0.6779271898621638,0.24248304937688536,0.08510320162423103,-2.0653434685885843,0.012671644583900236,-0.8272925777380006
-1.3257437477555687,0.13870453047636694,0.5786920191202223,0.17608523494428668,-0.926786184807014,-1.9259943313151557,0.29758457574080965,-0.8363953644130067
-1.9347757876142648,-0.2029278992463046,-1.2261333859162546,-1.1979902957821151,0.06693372841364366,-0.9406136292538293,-0.2888389689523515,-0.3708227936384104
-0.08788541888642856,0.31453723003983497,-1.1541755122328672,-0.3746197939309009,-1.6349966423600375,-0.694995143786901,0.9443786769202488,0.4681989291332448
-1.479949387306034,0.3871765731943824,-1.1417695364366882,0.5757738923690349,-1.36476000078548,-1.252892856801811,0.2776126645601699,-0.19935789280424304
-0.0928257533107495,0.3699586112219286,0.3617225521133977,-0.054011756914102364,1.0118248966516472,-0.4147605317947438,3.1334900779175983,-0.22272534854670245
-0.30980026015670475,0.8239835959120557,-0.02214595002150314,-0.0031466674632990503,1.4022159425634408,-0.07888682343549507,2.2775530636149024,-0.3534090486629004
-0.17159966248580685,0.1821692176836557,0.5630108533766003,-0.22065302017251798,1.6507180134397623,-0.32574274979853685,0.24236369203304564,-0.44395310600581106
-0.15851096062216785,0.37139216783532497,0.5960677665950951,-0.19779129691310815,1.648707947565287,-0.31134164098548,0.14484814419205347,-0.5065530054011422
0.32206342038421726,0.9739188566435127,0.4507405394969812,-0.13286832086249764,-0.3840221639949609,-1.3164419753428453,0.38746427967891744,-0.35595341481311893
0.16281104754822406,1.1235778098227616,0.48029327427082297,-0.09182537195823735,-0.40918110394123547,-1.3605995560370407,-0.07245709777610665,-0.28758060488924425
-0.5460835959007879,0.198421011222911,-2.0474849148903806,-0.2033079342838478,-1.5472790848625555,-1.3106626461668287,-0.34201105816376665,-0.2174178999852759
-0.8485601624131984,1.197821540921749,-1.254331643684552,0.30451988167818905,0.8246968937770163,-0.3011405962639276,1.4910379104007634,0.05856394636413554
-1.2301511523261013,1.168254263729406,-1.3934358690306587,0.2737475347529547,1.2400137221517922,-0.5774457959679835,1.5127897265009735,-0.2635273696401303
0.5481543367040935,0.015455842192139703,-0.3735035664992375,-1.7760651663702907,-1.6000651370227237,-0.3172923626950299,0.7613415779556878,1.2992333217099818
0.46334382340521996,0.2756542424221381,0.3551701004590971,-1.4772910679428097,-1.3885852705491537,-0.20432836024474582,-0.484922884783311,0.6544946356244127
0.4666610350099054,0.48315976030155827,0.01318706537289972,-1.2676997393767804,-0.6200350675117553,-0.1058956671148996,-1.0763884984386194,1.2200270087591047
0.5064658862637891,0.22198775413402846,-0.18718974173578165,-1.7641586154653268,-0.5626195943581291,-0.4626146555646156,0.25270443966608025,1.3861341918654233
-1.4175322118757985,-0.42259061248643803,-1.8104227101474197,-0.8705797275532335,-1.7970015857010484,-0.5273649613917358,0.325294250595765,-0.22094369046287304
-1.3808232587312061,-0.21411489625856128,-1.585341719124261,-0.9927330639042229,-1.199972018281457,-0.8669326189894259,-0.14226632006703305,-0.09193339723300036
0.16807868407204135,1.4717279941167465,0.7998549157984987,-0.8166998254459599,-0.9220682930790315,-1.266229215468869,0.8986654184422775,-0.2954746056687007
0.1326282702436336,1.6109475436803322,0.7779674629004303,-0.8155057692309371,-0.8766758933572906,-1.2028696136336858,-0.3411850348442243,-0.7602354101307685
0.15709415045186265,1.287873769603579,-0.35673768303801034,0.04596275208514377,-0.3855179907613728,-0.11885230397807185,-0.45476389118049365,-0.7542854903473734
0.2120994277631876,-0.07842346534951443,0.9171207783718976,-1.0104865338799514,0.27277093615490183,-1.1460621071013912,0.3716236317105234,0.4246934814177509
0.1374751439824075,0.5799032628873076,1.3517922695962525,-0.6429207348157142,0.42173655981519387,-1.2554465399170678,-0.1758976360918543,0.23426784393324876
0.22695586911733492,0.3340897366073762,0.911296830638632,-1.040327563618267,0.2283460301736022,-1.0851140162041024,-1.0292205679954551,0.08858499548232551
1.323018238052415,0.3154315629091393,-0.4118255438972033,-1.0063573935155574,-0.9685197138071677,-0.4025671020699653,1.2486313942953573,0.008175014830652251
-0.05836041960973947,1.5277341473266708,-0.35059423808618834,-0.21395221435943448,0.9526350553388966,-0.7133556116844726,0.07023951267571221,-0.10240964863766458
-0.1873745439083973,1.4219861272109149,-0.43858926174330304,-0.8920698701634117,0.971394432175446,-0.8396450778823716,1.1638933136105398,-0.10824677881629062
-0.4671239310106661,1.7320495596511984,-0.3994668365854525,-0.8487320625231354,0.7824797808401728,-0.5367281754690046,0.578573764797663,-0.001309991703364156
1.5117602359735398,0.8125848252113751,0.008316916145368088,-0.5148227741025909,0.4987350350111633,-0.8991607216692284,-0.7333429393366724,0.08734025726023356
1.3726717260774564,0.6700877987501012,0.6185082687562783,-0.8228705682532931,0.7162123355796116,-0.7291131629896718,-1.0518506421858973,-0.4571014434241912
1.1770455477042845,0.5879579066291186,-0.3109165772902737,-0.9853909581537125,-0.8697731400230961,-0.33701209750731564,0.988107294726552,-0.09593356600256824
0.9794929082495297,0.1539101882650823,0.548810656041036,-1.1205495277046258,-0.8189150072370847,-0.6449170623739952,2.3066370394695497,-0.3987316101616138
0.9003790088040365,0.23922914244740423,0.5235220823632496,-1.1056149683215781,-0.2715325226847944,-0.4363260601898493,2.2413104751233446,-0.37017465660346943
0.7909306177828183,0.8136939987362014,0.17999585702121096,-0.28898230533271974,-0.6269587065099383,-0.3125116385452609,1.6278220322631387,-0.40173334130808636
-0.4420826629745246,1.4893113531519886,-0.5348712392086455,-0.39693918391965544,0.7765866446518934,-0.4839867545564433,0.7634763530726211,-0.5979583266621349
