Freq_HAL_LemmaSum,Freq_KF_LemmaSum,Freq_SUBTLEXUS_LemmaSum,Freq_SUBTLEXUS_Zipf_LemmaSum,Freq_SUBTLEXUK_LemmaSum,Freq_SUBTLEXUK_Zipf_LemmaSum,Freq_Blog_LemmaSum,Freq_Twitter_LemmaSum,Freq_News_LemmaSum,Freqtraj_TASA,Cumfreq_TASA,CD_SUBTLEXUS_LemmaSum,CD_SUBTLEXUK_LemmaSum,CD_Blog_LemmaSum,CD_Twitter_LemmaSum,CD_News_LemmaSum,AoA_LWV,AoA_Kuper,Fam_Brys,Prevalence_Brys,NLett,BigramF_Avg_U_Log,TrigramF_Avg_U_Log,UnigramF_Avg_U_Log,BigramF_Avg_C_Log,TrigramF_Avg_C_Log,UnigramF_Avg_C_Log,OLD20F,PLD20F,OLD20,Orth_N,Orth_Spread,OUP,NPhon,NSyll,TriphonP_Un,TriphonP_St,BiphonP_St,BiphonP_Un,Phonographic_N,UniphonP_Un_C,UniphonP_St_C,UniphonP_St,UniphonP_Un,Phon_Spread,Phon_N,PUP,PLD20,Nsenses_WordNet,Nmeanings_Websters,Conc_Brys,Sem_Diversity,Sem_N_D_Taxonomic_N10,Sem_N_D_Taxonomic_N25,Sem_N_D_Taxonomic_N50,Sem_N_D_Taxonomic_N3,Sem_N,Sem_N_D,Assoc_Freq_Token123,Assoc_Freq_Token,Assoc_Freq_Type,Assoc_Freq_Type123,Head_Lanc,Auditory_Lanc,Haptic_Lanc,Hand_Arm_Lanc,Gustatory_Lanc,Olfactory_Lanc,Mouth_Throat_Lanc,Mink_Action_Lanc,Torso_Lanc,Foot_Leg_Lanc,Interoceptive_Lanc,Visual_Lanc,Mink_Perceptual_Lanc,Valence_NRC,Arousal_NRC,Dominance_NRC,Consistency_Token_FF_C,Consistency_Type_FF_C,Consistency_Token_FB_O,Consistency_Type_FB_O,Consistency_Type_FF_O,Consistency_Token_FF_O,Consistency_Type_FF_R,Consistency_Token_FF_R,Consistency_Type_FB_R,Consistency_Token_FB_R,Consistency_Token_FB_C,Consistency_Type_FB_C,Consistency_Type_FB,Consistency_Token_FB,Consistency_Token_FB_ON,Consistency_Token_FB_N,Consistency_Type_FB_N,Consistency_Type_FB_ON,Consistency_Token_FF_ON,Consistency_Type_FF_ON,Consistency_Token_FF_N,Consistency_Type_FF_N,Consistency_Token_FF,Consistency_Type_FF,ROOT1_PFMF,ROOT1_FamSize,ROOT1_Freq_HAL,NMorph
8.726686616213769,1.84509804001426,3.077367905284156,1.369202047428616,3.7079106657131073,1.403646391907698,3.148294097434744,2.5185139398778853,3.1215598441875003,1.05989358148125,-0.735424292834865,2.9763499790032744,3.60075514963962,3.132259689531045,2.514547752660288,3.114277296561584,8.32,8.32,0.962962962962963,2.42667033591828,7.0,4.4734433194508,3.84631236530044,5.43201731964488,2.64514706349429,1.40036527334994,3.52212981049526,7.45,6.97,2.9,0.0,0.0,8.0,7.0,3.0,0.00049337,0.0004643,0.00785954,0.00864801,0.0,0.06716863,0.06557992,0.04983092,0.05180938,0.0,0.0,8.0,2.45,7.0,4.0,2.54,2.08624284263546,144.8784,159.988,167.5145,103.64445,2511.0,0.58989388,152.0,41.0,27.0,69.0,2.45,0.94117647,0.29411765,0.7,0.11764706,0.05882353,0.55,2.5850972,0.9,1.1,2.11764706,2.17647059,2.7442818,0.052,0.519,0.245,0.987200526537377,0.982864545050595,0.81129545361482,0.813904027929883,0.970611605248015,0.96959957377077,0.441264028019116,0.454578024040254,0.44291955134589,0.444098387541223,0.917246428310456,0.916567372441396,0.611074679860981,0.614231778195597,0.484408683414775,0.41410993809671,0.412785775718928,0.469196671868807,0.364154134814339,0.382968049726306,0.290995757638125,0.290869105067858,0.613305603360173,0.613715466622378,0.0,2.0,10894.0,1.0
8.726686616213769,1.84509804001426,3.077367905284156,1.369202047428616,3.7079106657131073,1.403646391907698,3.148294097434744,2.5185139398778853,3.1215598441875003,0.935349109580442,1.03518331754541,2.9763499790032744,3.60075514963962,3.132259689531045,2.514547752660288,3.114277296561584,8.32,8.32,1.0,2.5758293035489,9.0,4.47988023128239,3.80930983927231,5.45746931778236,2.8653527487814,2.10533983980529,3.38832681971164,6.329,6.723,3.55,0.0,0.0,8.0,8.0,3.0,0.00059207,0.00049827,0.00788018,0.00852353,0.0,0.06954111,0.06733876,0.0511449,0.05287614,0.0,1.0,8.0,2.6,7.0,2.0,2.52,2.10549784544473,15.1055,16.9155,17.933,10.408,7627.0,0.66408765,148.0,51.0,22.0,61.0,2.63157895,1.44444444,0.05555556,1.05263158,0.0,0.0,0.89473684,2.8387863,0.78947368,1.31578947,1.66666667,2.77777778,3.0750332,0.046,0.481,0.13,0.989504497314244,0.986551180995295,0.81129545361482,0.813904027929883,0.970611605248015,0.96959957377077,0.470825699782622,0.499423743588729,0.452373308900913,0.449179469899653,0.793055570617948,0.805030728083936,0.590658102500493,0.590409823128781,0.484408683414775,0.41410993809671,0.412785775718928,0.469196671868807,0.364154134814339,0.382968049726306,0.290995757638125,0.290869105067858,0.622735541425241,0.620365128164019,0.0,2.0,10894.0,2.0
8.726686616213769,1.84509804001426,3.077367905284156,1.369202047428616,3.7079106657131073,1.403646391907698,3.148294097434744,2.5185139398778853,3.1215598441875003,0.251768456827345,-1.54354941748877,2.9763499790032744,3.60075514963962,3.132259689531045,2.514547752660288,3.114277296561584,8.32,8.32,0.962962962962963,2.42667033591828,10.0,4.52852360156041,3.93121777272203,5.40976528762844,2.69758674733741,2.42026938407823,3.24627201891889,6.956,6.594,3.7,0.0,0.0,8.0,9.0,4.0,0.00050478,0.00045697,0.00806794,0.00888242,0.0,0.07880062,0.07510255,0.05148614,0.05363312,0.0,0.0,8.0,3.3,5.0,4.0,2.54,2.10402460543893,144.8784,159.988,167.5145,103.64445,162.0,0.55490708,2.0,41.0,27.0,1.0,2.45,0.94117647,0.29411765,0.7,0.11764706,0.05882353,0.55,2.5850972,0.9,1.1,2.11764706,2.17647059,2.7442818,0.052,0.519,0.245,0.991986951759201,0.989816210312421,0.855819871731904,0.857619032183367,0.972403148380455,0.970299869648934,0.55093348248724,0.547331499165945,0.593345523918179,0.591735100538805,0.957437203951265,0.957825599033643,0.705758507109686,0.711385931257843,0.59897981114783,0.552957668919408,0.549714071913936,0.570288308499306,0.376663437728611,0.385671633149652,0.353799921293314,0.349775760424825,0.648016335919201,0.649720046950919,0.0,2.0,10894.0,2.0
8.726686616213769,1.84509804001426,3.077367905284156,1.369202047428616,3.7079106657131073,1.403646391907698,3.148294097434744,2.5185139398778853,3.1215598441875003,1.05989358148125,-0.735424292834865,2.9763499790032744,3.60075514963962,3.132259689531045,2.514547752660288,3.114277296561584,8.32,8.32,0.962962962962963,2.42667033591828,8.0,4.43492353947259,3.82929733879104,5.43067441021064,2.51529086244152,1.93308216236979,3.54892964655279,7.45,6.97,2.9,0.0,0.0,8.0,8.0,3.0,0.00063294,0.00060305,0.00734619,0.00800471,0.0,0.07279124,0.07058888,0.05243827,0.05416952,0.0,1.0,8.0,2.45,7.0,4.0,2.54,1.67707285920324,144.8784,159.988,167.5145,103.64445,0.0,0.44468373,152.0,41.0,27.0,69.0,2.45,0.94117647,0.29411765,0.7,0.11764706,0.05882353,0.55,2.5850972,0.9,1.1,2.11764706,2.17647059,2.7442818,0.052,0.519,0.245,0.987200526537377,0.982864545050595,0.81129545361482,0.813904027929883,0.970611605248015,0.96959957377077,0.441264028019116,0.454578024040254,0.44291955134589,0.444098387541223,0.917246428310456,0.916567372441396,0.611074679860981,0.614231778195597,0.484408683414775,0.41410993809671,0.412785775718928,0.469196671868807,0.364154134814339,0.382968049726306,0.290995757638125,0.290869105067858,0.613305603360173,0.613715466622378,0.0,2.0,10894.0,2.0
7.154002690190076,1.1461280356782382,2.245512667814151,0.5373468099586107,2.7596678446896314,0.4554035708842217,1.968482948553937,1.2304489213782694,2.089905111439397,0.660592257226835,-0.401580713922453,2.1038037209559586,2.595496221825572,1.9542425094393208,1.2304489213782694,2.079181246047626,9.7632,8.61,1.0,2.5758293035489,7.0,4.24843749243104,3.44090121434029,5.42168691195839,2.53265247977056,1.61246596395314,3.63649892909845,6.386,6.09,3.0,0.0,0.0,6.0,7.0,3.0,0.00044353,0.00041193,0.00585153,0.006732225,0.0,0.064716925,0.06126433,0.0479117,0.05132229,0.0,0.0,5.0,3.0,2.0,2.0,4.7,1.23212047502134,110.94,126.58,141.88,77.08,4.0,0.56019384,67.0,20.0,13.0,33.0,0.94736842,0.58823529,3.29411765,1.31578947,0.23529412,0.23529412,0.21052632,4.2178737,4.15789474,0.26315789,2.35294118,3.64705882,4.6027566,0.469,0.462,0.471,0.989527491136107,0.987597694108537,0.847082752292709,0.849264388974277,0.973695678467273,0.972775171358509,0.449161353287002,0.470147036529845,0.647093003905108,0.641832457913607,0.939004795762067,0.939038227915286,0.775499539089138,0.775529669703589,0.695537484785195,0.754190857764369,0.753391200442741,0.688710874208278,0.460541964270566,0.455814846770793,0.497420282571349,0.500460776475969,0.678082389173275,0.673346069821915,0.0,2.0,2136.0,1.0
7.154002690190076,1.1461280356782382,2.245512667814151,0.5373468099586107,2.7596678446896314,0.4554035708842217,1.968482948553937,1.2304489213782694,2.089905111439397,0.660592257226835,-0.401580713922453,2.1038037209559586,2.595496221825572,1.9542425094393208,1.2304489213782694,2.079181246047626,9.7632,8.61,1.0,2.5758293035489,8.0,4.22820626886864,3.41103520356348,5.42162057450589,2.47255168311443,1.87227284622421,3.55289199650055,6.386,6.09,3.0,0.0,0.0,6.0,8.0,3.0,0.00044353,0.00041193,0.00585153,0.006732225,0.0,0.064716925,0.06126433,0.0479117,0.05132229,0.0,0.0,5.0,3.0,2.0,2.0,4.7,1.23212047502134,110.94,126.58,141.88,77.08,0.0,0.29924423,67.0,20.0,13.0,33.0,0.94736842,0.58823529,3.29411765,1.31578947,0.23529412,0.23529412,0.21052632,4.2178737,4.15789474,0.26315789,2.35294118,3.64705882,4.6027566,0.469,0.462,0.471,0.989527491136107,0.987597694108537,0.847082752292709,0.849264388974277,0.973695678467273,0.972775171358509,0.449161353287002,0.470147036529845,0.647093003905108,0.641832457913607,0.939004795762067,0.939038227915286,0.775499539089138,0.775529669703589,0.695537484785195,0.754190857764369,0.753391200442741,0.688710874208278,0.460541964270566,0.455814846770793,0.497420282571349,0.500460776475969,0.678082389173275,0.673346069821915,0.0,2.0,2136.0,2.0
6.745,0.698970004336019,2.24303804868629,0.5348721908307499,2.52244423350632,0.2181799597009099,1.88081359228079,1.54406804435028,1.99122607569249,0.607577290004227,-1.18774058431188,2.02118929906994,2.37657695705651,1.81954393554187,1.54406804435028,1.96378782734556,10.24,10.24,1.0,2.24771146286078,9.0,4.30771997343163,3.10676866517681,5.38507271098601,2.39795738010389,1.27692113206577,3.20616719135217,6.114,6.655,3.75,0.0,0.0,6.0,8.0,4.0,0.000513865,0.00048856,0.006868785,0.007471105,0.0,0.07811337,0.074970385,0.05369211,0.055821815,0.0,0.0,4.0,4.0,2.0,2.0,4.28,1.08288311889827,19.097,23.0735,26.1185,11.7807,6.0,0.56124014,8.0,4.0,4.0,7.0,0.85714286,0.93333333,3.2,0.47619048,0.2,0.2,0.38095238,4.1589153,4.14285714,0.33333333,2.73333333,3.8,4.7752498,0.49,0.456,0.445,0.993732175208248,0.993366072105878,0.88266034574032,0.884139302966663,0.974716203294899,0.972681567839738,0.579693398543977,0.591924592073888,0.641242416950375,0.647579596446001,0.973869634397764,0.975005409404804,0.73189643772909,0.734961397870151,0.653783909733062,0.516913503033606,0.516928759507955,0.642166299815653,0.378730562404356,0.382784502755764,0.361525541120728,0.365476844173622,0.659718887729392,0.659207404174828,100.0,2.0,2136.0,2.0
7.748979633491927,1.397940008672038,2.240549248282596,0.5323833904270558,3.013679697291193,0.7094154234857825,2.531478917042256,1.826074802700827,2.3283796034387407,0.607577290004227,-1.18774058431188,2.1958996524092367,2.9474337218870525,2.488550716500446,1.8195439355418697,2.3283796034387407,9.99085,9.5,1.0,2.19145884701351,5.0,4.03394780955164,3.22325964956917,5.45975840761795,2.90170346238146,1.74225366990659,3.98378770823765,7.774,8.236,1.7,3.0,2.0,6.0,4.0,2.0,1.556e-05,6.09e-06,0.00151324,0.0019374,2.0,0.03668889,0.03588489,0.02536,0.02721306,2.0,3.0,5.0,1.85,2.0,4.0,1.68,1.93422545660129,63.569,70.3395,73.6295,45.653,0.0,0.43845919,42.0,14.0,13.0,30.0,2.10526316,1.1875,0.4375,0.78947368,0.0625,0.1875,1.42105263,2.3739442,0.78947368,0.57894737,1.1875,1.6875,2.0202213,0.635,0.354,0.705,0.999549754881579,0.999550132148681,0.948078903015666,0.948584326972775,0.97223788264947,0.970907284798455,0.656523798247691,0.661069692804408,0.51415047249058,0.51152767785901,0.555571627015709,0.555832523246418,0.62365314754349,0.622684747045485,0.585011971465381,0.51323355587166,0.511848569074139,0.58784984593354,0.32228729294596,0.312426317541078,0.140342820819263,0.140026094312654,0.618831369249933,0.616152844979915,0.0,1.0,3823.0,1.0
7.748979633491927,1.397940008672038,2.240549248282596,0.5323833904270558,3.013679697291193,0.7094154234857825,2.531478917042256,1.826074802700827,2.3283796034387407,0.607577290004227,-1.18774058431188,2.1958996524092367,2.9474337218870525,2.488550716500446,1.8195439355418697,2.3283796034387407,9.99085,9.5,1.0,2.19145884701351,6.0,4.22130493316474,3.25609447353064,5.42803421404123,3.32869144945923,2.13325141247232,3.91021873168765,7.774,8.236,1.7,1.0,2.0,6.0,6.0,3.0,0.00014847,0.00014464,0.00298799,0.00364535,0.0,0.06756436,0.0653226,0.03690722,0.04046844,2.0,3.0,5.0,1.85,2.0,4.0,1.68,1.93422545660129,63.569,70.3395,73.6295,45.653,0.0,0.22238962,42.0,14.0,13.0,30.0,2.10526316,1.1875,0.4375,0.78947368,0.0625,0.1875,1.42105263,2.3739442,0.78947368,0.57894737,1.1875,1.6875,2.0202213,0.635,0.354,0.705,0.999549754881579,0.999550132148681,0.948078903015666,0.948584326972775,0.97223788264947,0.970907284798455,0.656523798247691,0.661069692804408,0.51415047249058,0.51152767785901,0.555571627015709,0.555832523246418,0.62365314754349,0.622684747045485,0.585011971465381,0.51323355587166,0.511848569074139,0.58784984593354,0.32228729294596,0.312426317541078,0.140342820819263,0.140026094312654,0.618831369249933,0.616152844979915,0.0,1.0,3823.0,2.0
7.748979633491927,1.397940008672038,2.240549248282596,0.5323833904270558,3.013679697291193,0.7094154234857825,2.531478917042256,1.826074802700827,2.3283796034387407,0.607577290004227,-1.18774058431188,2.1958996524092367,2.9474337218870525,2.488550716500446,1.8195439355418697,2.3283796034387407,9.99085,9.5,1.0,2.19145884701351,6.0,4.20172804532637,3.23967228666358,5.45355826733798,2.98400043994785,1.50160692241883,3.88836261184197,7.146,7.6,1.9,3.0,0.0,6.0,5.0,2.0,3.605e-05,2.706e-05,0.00165685,0.00196014,2.0,0.04580475,0.04510577,0.02931268,0.03083847,0.0,2.0,5.0,1.95,2.0,4.0,1.68,1.93422545660129,63.569,70.3395,73.6295,45.653,0.0,0.21829957,2.0,1.0,1.0,2.0,2.10526316,1.1875,0.4375,0.78947368,0.0625,0.1875,1.42105263,2.3739442,0.78947368,0.57894737,1.1875,1.6875,2.0202213,0.635,0.354,0.705,0.985406554982601,0.987050132148681,0.948078903015666,0.948584326972775,0.97223788264947,0.970907284798455,0.620809512533405,0.621803594872889,0.630092501476087,0.631448072548812,0.717179206203454,0.711296039451379,0.677934256581584,0.678990341820994,0.585011971465381,0.51323355587166,0.511848569074139,0.58784984593354,0.32228729294596,0.312426317541078,0.140342820819263,0.140026094312654,0.608149509683834,0.606509987837058,0.0,1.0,3823.0,2.0
