idx,Word,Lemma,Fam_Brys,OLD20F,OLD20,Mink_Perceptual_Lanc,CD_Blog_LemmaSum,Cumfreq_TASA,UniphonP_St,Foot_Leg_Lanc,Interoceptive_Lanc,Freq_HAL_LemmaSum,Auditory_Lanc,Consistency_Token_FB_O,BiphonP_Un,AoA_Kuper,Freq_SUBTLEXUS_Zipf_LemmaSum,Consistency_Token_FF_R,TriphonP_Un,Phon_Spread,NSyll,Freq_SUBTLEXUS_LemmaSum,Consistency_Type_FB,Head_Lanc,Consistency_Token_FF_O,Visual_Lanc,PLD20,Orth_N,Consistency_Type_FF_O,Consistency_Type_FB_ON,Assoc_Freq_Type123,CD_News_LemmaSum,TrigramF_Avg_U_Log,UniphonP_Un,Sem_N_D_Taxonomic_N25,Consistency_Type_FF_ON,CD_Twitter_LemmaSum,PLD20F,UniphonP_St_C,Freq_Twitter_LemmaSum,Assoc_Freq_Type,Consistency_Type_FF_R,TrigramF_Avg_C_Log,ROOT1_Freq_HAL,Assoc_Freq_Token123,Mink_Action_Lanc,Torso_Lanc,AoA_LWV,Consistency_Token_FB_R,Consistency_Type_FF_N,OUP,ROOT1_PFMF,Conc_Brys,UnigramF_Avg_C_Log,Consistency_Type_FF_C,Consistency_Type_FF,NLett,Prevalence_Brys,Sem_N,Consistency_Token_FB,Orth_Spread,Sem_N_D_Taxonomic_N10,PUP,Consistency_Type_FB_C,Consistency_Type_FB_O,Consistency_Token_FB_ON,Dominance_NRC,Freq_News_LemmaSum,Hand_Arm_Lanc,Consistency_Type_FB_N,Mouth_Throat_Lanc,Consistency_Type_FB_R,ROOT1_FamSize,Gustatory_Lanc,Consistency_Token_FF,Consistency_Token_FF_ON,Nsenses_WordNet,Sem_N_D_Taxonomic_N3,BiphonP_St,Consistency_Token_FF_N,Phonographic_N,Olfactory_Lanc,BigramF_Avg_U_Log,TriphonP_St,NPhon,Freq_SUBTLEXUK_Zipf_LemmaSum,Sem_N_D_Taxonomic_N50,Arousal_NRC,CD_SUBTLEXUS_LemmaSum,Valence_NRC,Freq_KF_LemmaSum,Assoc_Freq_Token,Consistency_Token_FB_N,Freq_Blog_LemmaSum,UniphonP_Un_C,Sem_Diversity,NMorph,Nmeanings_Websters,Phon_N,Consistency_Token_FF_C,UnigramF_Avg_U_Log,Sem_N_D,BigramF_Avg_C_Log,Freq_SUBTLEXUK_LemmaSum,CD_SUBTLEXUK_LemmaSum,Haptic_Lanc,Consistency_Token_FB_C,Freqtraj_TASA,F1_n8,F2_n8,F3_n8,F4_n8,F5_n8,F6_n8,F7_n8,F8_n8
35,abandon,abandon,0.962962962962963,7.45,2.9,2.7442818,3.132259689531045,-0.735424292834865,0.04983092,1.1,2.11764706,8.726686616213769,0.94117647,0.81129545361482,0.00864801,8.32,1.369202047428616,0.454578024040254,0.00049337,0.0,3.0,3.077367905284156,0.611074679860981,2.45,0.96959957377077,2.17647059,2.45,0.0,0.970611605248015,0.469196671868807,69.0,3.114277296561584,3.84631236530044,0.05180938,159.988,0.382968049726306,2.514547752660288,6.97,0.06557992,2.5185139398778853,27.0,0.441264028019116,1.40036527334994,10894.0,152.0,2.5850972,0.9,8.32,0.444098387541223,0.290869105067858,8.0,0.0,2.54,3.52212981049526,0.982864545050595,0.613715466622378,7.0,2.42667033591828,2511.0,0.614231778195597,0.0,144.8784,8.0,0.916567372441396,0.813904027929883,0.484408683414775,0.245,3.1215598441875003,0.7,0.412785775718928,0.55,0.44291955134589,2.0,0.11764706,0.613305603360173,0.364154134814339,7.0,103.64445,0.00785954,0.290995757638125,0.0,0.05882353,4.4734433194508,0.0004643,7.0,1.403646391907698,167.5145,0.519,2.9763499790032744,0.052,1.84509804001426,41.0,0.41410993809671,3.148294097434744,0.06716863,2.08624284263546,1.0,4.0,0.0,0.987200526537377,5.43201731964488,0.58989388,2.64514706349429,3.7079106657131073,3.60075514963962,0.29411765,0.917246428310456,1.05989358148125,0.16070881739128853,0.49405030683787854,-0.2740228209665012,-0.8030121214762561,0.6648402275769907,-1.257530539574449,0.9758099890247051,-0.24010358529523462
36,abandoned,abandon,1.0,6.329,3.55,3.0750332,3.132259689531045,1.03518331754541,0.0511449,1.31578947,1.66666667,8.726686616213769,1.44444444,0.81129545361482,0.00852353,8.32,1.369202047428616,0.499423743588729,0.00059207,0.0,3.0,3.077367905284156,0.590658102500493,2.63157895,0.96959957377077,2.77777778,2.6,0.0,0.970611605248015,0.469196671868807,61.0,3.114277296561584,3.80930983927231,0.05287614,16.9155,0.382968049726306,2.514547752660288,6.723,0.06733876,2.5185139398778853,22.0,0.470825699782622,2.10533983980529,10894.0,148.0,2.8387863,0.78947368,8.32,0.449179469899653,0.290869105067858,8.0,0.0,2.52,3.38832681971164,0.986551180995295,0.620365128164019,9.0,2.5758293035489,7627.0,0.590409823128781,0.0,15.1055,8.0,0.805030728083936,0.813904027929883,0.484408683414775,0.13,3.1215598441875003,1.05263158,0.412785775718928,0.89473684,0.452373308900913,2.0,0.0,0.622735541425241,0.364154134814339,7.0,10.408,0.00788018,0.290995757638125,0.0,0.0,4.47988023128239,0.00049827,8.0,1.403646391907698,17.933,0.481,2.9763499790032744,0.046,1.84509804001426,51.0,0.41410993809671,3.148294097434744,0.06954111,2.10549784544473,2.0,2.0,1.0,0.989504497314244,5.45746931778236,0.66408765,2.8653527487814,3.7079106657131073,3.60075514963962,0.05555556,0.793055570617948,0.935349109580442,0.40193056410351274,0.8610628991699038,-0.3013164800831035,-0.7703045593794885,0.8159864785116215,-1.0269024434123373,-0.4800042616204172,-0.33418625865214713
39,abandoning,abandon,0.962962962962963,6.956,3.7,2.7442818,3.132259689531045,-1.54354941748877,0.05148614,1.1,2.11764706,8.726686616213769,0.94117647,0.855819871731904,0.00888242,8.32,1.369202047428616,0.547331499165945,0.00050478,0.0,4.0,3.077367905284156,0.705758507109686,2.45,0.970299869648934,2.17647059,3.3,0.0,0.972403148380455,0.570288308499306,1.0,3.114277296561584,3.93121777272203,0.05363312,159.988,0.385671633149652,2.514547752660288,6.594,0.07510255,2.5185139398778853,27.0,0.55093348248724,2.42026938407823,10894.0,2.0,2.5850972,0.9,8.32,0.591735100538805,0.349775760424825,8.0,0.0,2.54,3.24627201891889,0.989816210312421,0.649720046950919,10.0,2.42667033591828,162.0,0.711385931257843,0.0,144.8784,8.0,0.957825599033643,0.857619032183367,0.59897981114783,0.245,3.1215598441875003,0.7,0.549714071913936,0.55,0.593345523918179,2.0,0.11764706,0.648016335919201,0.376663437728611,5.0,103.64445,0.00806794,0.353799921293314,0.0,0.05882353,4.52852360156041,0.00045697,9.0,1.403646391907698,167.5145,0.519,2.9763499790032744,0.052,1.84509804001426,41.0,0.552957668919408,3.148294097434744,0.07880062,2.10402460543893,2.0,4.0,0.0,0.991986951759201,5.40976528762844,0.55490708,2.69758674733741,3.7079106657131073,3.60075514963962,0.29411765,0.957437203951265,0.251768456827345,0.14028087556447622,0.9772173033016693,0.5005632043548156,-0.4891441656996021,1.0473990409406542,-1.2987865133529544,0.5723484115733344,-0.37772580487028456
41,abandons,abandon,0.962962962962963,7.45,2.9,2.7442818,3.132259689531045,-0.735424292834865,0.05243827,1.1,2.11764706,8.726686616213769,0.94117647,0.81129545361482,0.00800471,8.32,1.369202047428616,0.454578024040254,0.00063294,0.0,3.0,3.077367905284156,0.611074679860981,2.45,0.96959957377077,2.17647059,2.45,0.0,0.970611605248015,0.469196671868807,69.0,3.114277296561584,3.82929733879104,0.05416952,159.988,0.382968049726306,2.514547752660288,6.97,0.07058888,2.5185139398778853,27.0,0.441264028019116,1.93308216236979,10894.0,152.0,2.5850972,0.9,8.32,0.444098387541223,0.290869105067858,8.0,0.0,2.54,3.54892964655279,0.982864545050595,0.613715466622378,8.0,2.42667033591828,0.0,0.614231778195597,0.0,144.8784,8.0,0.916567372441396,0.813904027929883,0.484408683414775,0.245,3.1215598441875003,0.7,0.412785775718928,0.55,0.44291955134589,2.0,0.11764706,0.613305603360173,0.364154134814339,7.0,103.64445,0.00734619,0.290995757638125,0.0,0.05882353,4.43492353947259,0.00060305,8.0,1.403646391907698,167.5145,0.519,2.9763499790032744,0.052,1.84509804001426,41.0,0.41410993809671,3.148294097434744,0.07279124,1.67707285920324,2.0,4.0,1.0,0.987200526537377,5.43067441021064,0.44468373,2.51529086244152,3.7079106657131073,3.60075514963962,0.29411765,0.917246428310456,1.05989358148125,0.08830495343573976,0.5864602138778007,-0.23324570536407216,-0.777023267417018,0.9483728758602427,-1.17386094210069,0.6663956538037831,-0.224983168803212
101,abdomen,abdomen,1.0,6.386,3.0,4.6027566,1.9542425094393208,-0.401580713922453,0.0479117,0.26315789,2.35294118,7.154002690190076,0.58823529,0.847082752292709,0.006732225,8.61,0.5373468099586107,0.470147036529845,0.00044353,0.0,3.0,2.245512667814151,0.775499539089138,0.94736842,0.972775171358509,3.64705882,3.0,0.0,0.973695678467273,0.688710874208278,33.0,2.079181246047626,3.44090121434029,0.05132229,126.58,0.455814846770793,1.2304489213782694,6.09,0.06126433,1.2304489213782694,13.0,0.449161353287002,1.61246596395314,2136.0,67.0,4.2178737,4.15789474,9.7632,0.641832457913607,0.500460776475969,6.0,0.0,4.7,3.63649892909845,0.987597694108537,0.673346069821915,7.0,2.5758293035489,4.0,0.775529669703589,0.0,110.94,5.0,0.939038227915286,0.849264388974277,0.695537484785195,0.471,2.089905111439397,1.31578947,0.753391200442741,0.21052632,0.647093003905108,2.0,0.23529412,0.678082389173275,0.460541964270566,2.0,77.08,0.00585153,0.497420282571349,0.0,0.23529412,4.24843749243104,0.00041193,7.0,0.4554035708842217,141.88,0.462,2.1038037209559586,0.469,1.1461280356782382,20.0,0.754190857764369,1.968482948553937,0.064716925,1.23212047502134,1.0,2.0,0.0,0.989527491136107,5.42168691195839,0.56019384,2.53265247977056,2.7596678446896314,2.595496221825572,3.29411765,0.939004795762067,0.660592257226835,-1.213337567449602,0.7766022258297282,0.8122955865309641,-0.18477085302416543,0.16094097414052266,1.0804709394105056,0.5033769597890001,0.11930414615806569
102,abdomens,abdomen,1.0,6.386,3.0,4.6027566,1.9542425094393208,-0.401580713922453,0.0479117,0.26315789,2.35294118,7.154002690190076,0.58823529,0.847082752292709,0.006732225,8.61,0.5373468099586107,0.470147036529845,0.00044353,0.0,3.0,2.245512667814151,0.775499539089138,0.94736842,0.972775171358509,3.64705882,3.0,0.0,0.973695678467273,0.688710874208278,33.0,2.079181246047626,3.41103520356348,0.05132229,126.58,0.455814846770793,1.2304489213782694,6.09,0.06126433,1.2304489213782694,13.0,0.449161353287002,1.87227284622421,2136.0,67.0,4.2178737,4.15789474,9.7632,0.641832457913607,0.500460776475969,6.0,0.0,4.7,3.55289199650055,0.987597694108537,0.673346069821915,8.0,2.5758293035489,0.0,0.775529669703589,0.0,110.94,5.0,0.939038227915286,0.849264388974277,0.695537484785195,0.471,2.089905111439397,1.31578947,0.753391200442741,0.21052632,0.647093003905108,2.0,0.23529412,0.678082389173275,0.460541964270566,2.0,77.08,0.00585153,0.497420282571349,0.0,0.23529412,4.22820626886864,0.00041193,8.0,0.4554035708842217,141.88,0.462,2.1038037209559586,0.469,1.1461280356782382,20.0,0.754190857764369,1.968482948553937,0.064716925,1.23212047502134,2.0,2.0,0.0,0.989527491136107,5.42162057450589,0.29924423,2.47255168311443,2.7596678446896314,2.595496221825572,3.29411765,0.939004795762067,0.660592257226835,-1.243908746653029,0.9033083861345795,0.8581935721043942,-0.14236044914013093,0.20919949181440667,1.0453290018672927,0.24692219616339242,0.1333006173915773
103,abdominal,abdominal,1.0,6.114,3.75,4.7752498,1.81954393554187,-1.18774058431188,0.05369211,0.33333333,2.73333333,6.745,0.93333333,0.88266034574032,0.007471105,10.24,0.5348721908307499,0.591924592073888,0.000513865,0.0,4.0,2.24303804868629,0.73189643772909,0.85714286,0.972681567839738,3.8,4.0,0.0,0.974716203294899,0.642166299815653,7.0,1.96378782734556,3.10676866517681,0.055821815,23.0735,0.382784502755764,1.54406804435028,6.655,0.074970385,1.54406804435028,4.0,0.579693398543977,1.27692113206577,2136.0,8.0,4.1589153,4.14285714,10.24,0.647579596446001,0.365476844173622,6.0,100.0,4.28,3.20616719135217,0.993366072105878,0.659207404174828,9.0,2.24771146286078,6.0,0.734961397870151,0.0,19.097,4.0,0.975005409404804,0.884139302966663,0.653783909733062,0.445,1.99122607569249,0.47619048,0.516928759507955,0.38095238,0.641242416950375,2.0,0.2,0.659718887729392,0.378730562404356,2.0,11.7807,0.006868785,0.361525541120728,0.0,0.2,4.30771997343163,0.00048856,8.0,0.2181799597009099,26.1185,0.456,2.02118929906994,0.49,0.698970004336019,4.0,0.516913503033606,1.88081359228079,0.07811337,1.08288311889827,2.0,2.0,0.0,0.993732175208248,5.38507271098601,0.56124014,2.39795738010389,2.52244423350632,2.37657695705651,3.2,0.973869634397764,0.607577290004227,-1.4877030678608167,1.2552231435963348,0.47650562891317283,-0.35728840802174167,0.4028776245084906,0.7507759926618661,-0.6596503620659172,0.022114584083675677
151,abide,abide,1.0,7.774,1.7,2.0202213,2.488550716500446,-1.18774058431188,0.02536,0.57894737,1.1875,7.748979633491927,1.1875,0.948078903015666,0.0019374,9.5,0.5323833904270558,0.661069692804408,1.556e-05,2.0,2.0,2.240549248282596,0.62365314754349,2.10526316,0.970907284798455,1.6875,1.85,3.0,0.97223788264947,0.58784984593354,30.0,2.3283796034387407,3.22325964956917,0.02721306,70.3395,0.312426317541078,1.8195439355418697,8.236,0.03588489,1.826074802700827,13.0,0.656523798247691,1.74225366990659,3823.0,42.0,2.3739442,0.78947368,9.99085,0.51152767785901,0.140026094312654,6.0,0.0,1.68,3.98378770823765,0.999550132148681,0.616152844979915,5.0,2.19145884701351,0.0,0.622684747045485,2.0,63.569,5.0,0.555832523246418,0.948584326972775,0.585011971465381,0.705,2.3283796034387407,0.78947368,0.511848569074139,1.42105263,0.51415047249058,1.0,0.0625,0.618831369249933,0.32228729294596,2.0,45.653,0.00151324,0.140342820819263,2.0,0.1875,4.03394780955164,6.09e-06,4.0,0.7094154234857825,73.6295,0.354,2.1958996524092367,0.635,1.397940008672038,14.0,0.51323355587166,2.531478917042256,0.03668889,1.93422545660129,1.0,4.0,3.0,0.999549754881579,5.45975840761795,0.43845919,2.90170346238146,3.013679697291193,2.9474337218870525,0.4375,0.555571627015709,0.607577290004227,-0.6914774228433356,-0.6626760228868173,-0.021231729153663677,-1.1035271423752113,-1.784276966838027,-1.720096920860733,0.05736755144152802,-0.6299175846314995
152,abided,abide,1.0,7.774,1.7,2.0202213,2.488550716500446,-1.18774058431188,0.03690722,0.57894737,1.1875,7.748979633491927,1.1875,0.948078903015666,0.00364535,9.5,0.5323833904270558,0.661069692804408,0.00014847,2.0,3.0,2.240549248282596,0.62365314754349,2.10526316,0.970907284798455,1.6875,1.85,1.0,0.97223788264947,0.58784984593354,30.0,2.3283796034387407,3.25609447353064,0.04046844,70.3395,0.312426317541078,1.8195439355418697,8.236,0.0653226,1.826074802700827,13.0,0.656523798247691,2.13325141247232,3823.0,42.0,2.3739442,0.78947368,9.99085,0.51152767785901,0.140026094312654,6.0,0.0,1.68,3.91021873168765,0.999550132148681,0.616152844979915,6.0,2.19145884701351,0.0,0.622684747045485,2.0,63.569,5.0,0.555832523246418,0.948584326972775,0.585011971465381,0.705,2.3283796034387407,0.78947368,0.511848569074139,1.42105263,0.51415047249058,1.0,0.0625,0.618831369249933,0.32228729294596,2.0,45.653,0.00298799,0.140342820819263,0.0,0.1875,4.22130493316474,0.00014464,6.0,0.7094154234857825,73.6295,0.354,2.1958996524092367,0.635,1.397940008672038,14.0,0.51323355587166,2.531478917042256,0.06756436,1.93422545660129,2.0,4.0,3.0,0.999549754881579,5.42803421404123,0.22238962,3.32869144945923,3.013679697291193,2.9474337218870525,0.4375,0.555571627015709,0.607577290004227,-0.701657599540191,-0.5143620913419061,0.037786510648010675,-1.0787857499045193,-0.5851268202960311,-1.7774745335021547,-0.267515970560686,-0.5860950763681055
154,abides,abide,1.0,7.146,1.9,2.0202213,2.488550716500446,-1.18774058431188,0.02931268,0.57894737,1.1875,7.748979633491927,1.1875,0.948078903015666,0.00196014,9.5,0.5323833904270558,0.621803594872889,3.605e-05,0.0,2.0,2.240549248282596,0.677934256581584,2.10526316,0.970907284798455,1.6875,1.95,3.0,0.97223788264947,0.58784984593354,2.0,2.3283796034387407,3.23967228666358,0.03083847,70.3395,0.312426317541078,1.8195439355418697,7.6,0.04510577,1.826074802700827,1.0,0.620809512533405,1.50160692241883,3823.0,2.0,2.3739442,0.78947368,9.99085,0.631448072548812,0.140026094312654,6.0,0.0,1.68,3.88836261184197,0.987050132148681,0.606509987837058,6.0,2.19145884701351,0.0,0.678990341820994,0.0,63.569,5.0,0.711296039451379,0.948584326972775,0.585011971465381,0.705,2.3283796034387407,0.78947368,0.511848569074139,1.42105263,0.630092501476087,1.0,0.0625,0.608149509683834,0.32228729294596,2.0,45.653,0.00165685,0.140342820819263,2.0,0.1875,4.20172804532637,2.706e-05,5.0,0.7094154234857825,73.6295,0.354,2.1958996524092367,0.635,1.397940008672038,1.0,0.51323355587166,2.531478917042256,0.04580475,1.93422545660129,2.0,4.0,2.0,0.985406554982601,5.45355826733798,0.21829957,2.98400043994785,3.013679697291193,2.9474337218870525,0.4375,0.717179206203454,0.607577290004227,-0.7253680439965763,-0.1656629091729568,0.26037284983222597,-1.0975288586253593,-1.5047885188014176,-1.6847465114744256,-0.23120401892306858,-0.7181177671981581
