ev,explained%,explained%_cum,idx
20.36108567768332,19.20857139404087,19.20857139404087,0
11.712263835626619,11.049305505308132,30.257876899349,1
7.160264756573183,6.754966751484136,37.01284365083313,2
5.4931143044513355,5.182183306086166,42.1950269569193,3
4.693282409452941,4.427624914578247,46.622651871497546,4
4.270617557166632,4.028884487893049,50.6515363593906,5
3.619666531886646,3.414779747062874,54.06631610645347,6
2.9264052244184104,2.760759645677746,56.827075752131215,7
2.731555851524927,2.5769394825706864,59.4040152347019,8
2.6430431634936538,2.493436946692127,61.89745218139403,9
2.2699765080866725,2.14148727177988,64.03893945317391,10
2.1633552770560254,2.0409012047698356,66.07984065794375,11
2.1183390613590207,1.9984330767537934,68.07827373469755,12
2.032717180995536,1.9176577179203174,69.99593145261787,13
1.8626870577999641,1.757251941320721,71.75318339393858,14
1.602786495712922,1.5120627318046438,73.26524612574323,15
1.4771412640258208,1.393529494363982,74.65877562010722,16
1.4073246080617452,1.3276647245865523,75.98644034469378,17
1.2825897625555573,1.209990342033545,77.19643068672733,18
1.2541256640217138,1.1831374188884094,78.37956810561573,19
1.2405131701599594,1.1702954435471318,79.54986354916286,20
1.1245888931303378,1.0609329180474887,80.61079646721035,21
1.069888118436952,1.0093284136197662,81.62012488083012,22
1.014156841375825,0.9567517371470049,82.57687661797712,23
0.9898056444323495,0.9337789098418392,83.51065552781895,24
0.9161705415041638,0.8643118316077019,84.37496735942666,25
0.8947086214942133,0.8440647372586919,85.21903209668535,26
0.8027499326328237,0.7573112572007772,85.97634335388614,27
0.787521173615466,0.7429445034108171,86.71928785729695,28
0.7686787166982482,0.7251686006587248,87.44445645795567,29
0.6576882972215085,0.6204606577561401,88.06491711571181,30
0.6506682518557032,0.6138379734487767,88.67875508916059,31
0.6240358196864673,0.5887130374400635,89.26746812660065,32
0.6109521868449947,0.5763699875896178,89.84383811419026,33
0.5976513775771686,0.5638220543180836,90.40766016850834,34
0.5752669925928136,0.5427047099932204,90.95036487850156,35
0.5223223418077895,0.49275692623376377,91.44312180473533,36
0.47210798728271375,0.44538489366293754,91.88850669839826,37
0.45914300940966135,0.43315378246194475,92.3216604808602,38
0.4533673554352498,0.4277050522974056,92.74936553315762,39
0.44527757964097525,0.4200731883405428,93.16943872149815,40
0.42583598956357466,0.4017320656260139,93.57117078712416,41
0.38568468950770946,0.3638534806676505,93.93502426779182,42
0.37333463107437453,0.35220248214563643,94.28722674993746,43
0.3361539475175047,0.31712636558255164,94.60435311552001,44
0.33014197798016576,0.3114546962077036,94.91580781172772,45
0.3194042932234058,0.3013248049277414,95.21713261665546,46
0.2950534306266446,0.2783522930440044,95.49548490969947,47
0.29274976539394787,0.27617902395655464,95.77166393365603,48
0.2840867946562731,0.2680064100530879,96.03967034370912,49
0.2730726484941197,0.25761570612652807,96.29728604983565,50
0.26606011820244385,0.2510001115117395,96.54828616134739,51
0.25201496644259447,0.23774996834207027,96.78603612968946,52
0.2265659951071936,0.21374150481810722,96.99977763450757,53
0.21971089970280494,0.2072744336818915,97.20705206818945,54
0.21267755258511742,0.2006392005519976,97.40769126874146,55
0.21128596920551887,0.19932638604294237,97.6070176547844,56
0.20034636598513528,0.18900600564635406,97.79602366043075,57
0.18314342439519635,0.1727768154671664,97.96880047589791,58
0.17572494320272064,0.16577824830445345,98.13457872420236,59
0.16802597094490615,0.15851506692915676,98.29309379113151,60
0.1587588677395006,0.14977251673537795,98.4428663078669,61
0.15753822361589873,0.14862096567537617,98.59148727354227,62
0.14523632821103416,0.13701540397267375,98.72850267751494,63
0.13516298037668792,0.12751224563838484,98.85601492315332,64
0.1295198746449978,0.12218856098584702,98.97820348413917,65
0.12769190053987017,0.12046405711308508,99.09866754125225,66
0.11231422668508848,0.10595681762744197,99.2046243588797,67
0.10433599703934415,0.09843018588617375,99.30305454476587,68
0.09733480828674404,0.09182529083655099,99.39487983560242,69
0.0901898558817802,0.08508476969979266,99.47996460530221,70
0.08144874550917094,0.07683843915959523,99.55680304446182,71
0.07821074937911594,0.07378372582935466,99.63058677029117,72
0.06694752419750528,0.06315804169575971,99.69374481198693,73
0.06050111321534403,0.05707652190126796,99.7508213338882,74
0.05328224041269591,0.05026626454027916,99.80108759842848,75
0.0406441335445997,0.03834352221188651,99.83943112064037,76
0.032775420012479684,0.0309202075589431,99.87035132819932,77
0.030183989165339598,0.02847546147673547,99.89882678967605,78
0.02383062784934988,0.022481724386179135,99.92130851406223,79
0.01780647639469338,0.01679856263650319,99.93810707669874,80
0.016391048100241785,0.015463252924756405,99.9535703296235,81
0.008803029853948902,0.008304745145234814,99.96187507476874,82
0.00820414080069874,0.007739755472357303,99.9696148302411,83
0.00777533011146643,0.007335217086289087,99.97695004732739,84
0.005162681876315526,0.004870454600297666,99.98182050192769,85
0.0045845358546838895,0.004325033825173481,99.98614553575285,86
0.003910835928584866,0.003689467857155534,99.98983500361001,87
0.0034979628973689915,0.0032999649975179166,99.99313496860754,88
0.0025949857889384508,0.002448099800885331,99.99558306840842,89
0.0009748887636556406,0.0009197063808072082,99.99650277478923,90
0.0008482099622195204,0.0008001980775655854,99.9973029728668,91
0.0008040489694326442,0.0007585367636157022,99.99806150963042,92
0.0007838367079900355,0.0007394685924434298,99.99880097822286,93
0.00040552924305114866,0.00038257475759542335,99.99918355298045,94
0.00036368691723427876,0.0003431008653153574,99.99952665384578,95
0.00028422104943793565,0.0002681330655074865,99.99979478691128,96
0.00010936040680042442,0.00010317019509474004,99.99989795710637,97
6.650621265790527e-05,6.274171005462762e-05,99.99996069881642,98
4.165925464366712e-05,3.930118362610106e-05,100.00000000000004,99
6.353590708759427e-16,5.993953498829649e-16,100.00000000000004,100
5.084759795268016e-16,4.796943203083034e-16,100.00000000000004,101
3.9774035935674365e-16,3.752267541101356e-16,100.00000000000004,102
1.0028100617722773e-16,9.460472280870542e-17,100.00000000000004,103
-6.716577173349859e-18,-6.336393559764018e-18,100.00000000000004,104
-5.639921904073421e-16,-5.320681041578699e-16,100.00000000000004,105
