factor,feature,n_stories,fisher_mean_pearson_r,sd_fisher_z,t_fisher_z,p_two_sided,min_story_r,max_story_r,max_abs_story_r,q_bh_80_tests,significant_q05
F7_n8,word_count_per_tr,10,0.07385115115322712,0.03604117863738726,6.491569375279693,0.00011254935884460625,0.0083543603206078,0.1212650513039556,0.1212650513039556,0.0090039487075685,True
F2_n8,word_count_per_tr,10,-0.07028992774712395,0.06379638411303785,-3.4899066022184244,0.006831155229640185,-0.1528817944645539,0.0147836419294485,0.1528817944645539,0.2732462091856074,False
F1_n8,word_count_per_tr,10,0.061665892198221696,0.0720506424664924,2.7099330746346784,0.02400012761018475,-0.0361869909406782,0.1465166936319779,0.1465166936319779,0.3345003597818539,False
F2_n8,rms_dbfs,10,0.048133833493601716,0.05909018999534886,2.5779281141271135,0.029797723314033565,-0.036893997244281,0.1541401945973439,0.1541401945973439,0.3345003597818539,False
F7_n8,peak_amplitude,10,0.047634815650721064,0.07019116799451235,2.1476861940720213,0.0602630863199193,-0.0249497805820647,0.1914250797653586,0.1914250797653586,0.3345003597818539,False
F1_n8,spectral_centroid_hz,10,-0.042578168894306594,0.08798613718162077,-1.5312121957564782,0.16007686970390272,-0.2293943683452109,0.0660770361872845,0.2293943683452109,0.431244328429771,False
F7_n8,rms,10,0.0421355142440637,0.06746162867995786,1.9762809776726844,0.07953428437820051,-0.0245881808587332,0.1877447186340977,0.1877447186340977,0.3499505671090657,False
F3_n8,word_count_per_tr,10,0.041841273252933166,0.06200221222747634,2.135262818288061,0.06149311454819179,-0.048934429078962,0.1700558852664233,0.1700558852664233,0.3345003597818539,False
F1_n8,spectral_rolloff_85_hz,10,-0.04137591650242921,0.08358805860417112,-1.5662150931988474,0.15173994610386327,-0.2193918939737738,0.0676291916435317,0.2193918939737738,0.431244328429771,False
F4_n8,peak_amplitude,10,0.03887699850868423,0.08812514201590906,1.3957635160469493,0.19625955610385015,-0.0523463905741424,0.2106581423968255,0.2106581423968255,0.431244328429771,False
F4_n8,rms_dbfs,10,0.03882861259181902,0.0678344248812591,1.811006981481242,0.1035694576011816,-0.0496714595203009,0.1728015046066269,0.1728015046066269,0.38380257510038085,False
F1_n8,zero_crossing_rate,10,-0.03832559633922886,0.08410096952082337,-1.4417856284046282,0.18323962348031209,-0.2177123006947905,0.0675265106275826,0.2177123006947905,0.431244328429771,False
F5_n8,spectral_centroid_hz,10,0.0383039803085281,0.0663849114042557,1.825521948285834,0.10121258228800772,-0.0292478431433071,0.1915864284446496,0.1915864284446496,0.38380257510038085,False
F2_n8,spectral_centroid_hz,10,0.038089738504932774,0.07870095667228935,1.5312219307324533,0.16007449561286688,-0.0562056368498132,0.1916367231205251,0.1916367231205251,0.431244328429771,False
F2_n8,spectral_rolloff_85_hz,10,0.03742847034338343,0.08013406541416809,1.4777052797814996,0.17360511229480521,-0.0454877907221521,0.1994260874317318,0.1994260874317318,0.431244328429771,False
F1_n8,peak_amplitude,10,-0.03579029903361961,0.08077556678560795,-1.4017509264800578,0.19452179721595633,-0.203662092798804,0.0456226888250407,0.203662092798804,0.431244328429771,False
F1_n8,rms_dbfs,10,-0.035225761434065125,0.05322013098225406,-2.0939397394543153,0.06576174380819956,-0.1358577095615895,0.043278678115876,0.1358577095615895,0.3345003597818539,False
F2_n8,zero_crossing_rate,10,0.03329114366703331,0.0745403899725227,1.4128549399167427,0.19133404322434042,-0.0501060730899217,0.1887932090326034,0.1887932090326034,0.431244328429771,False
F4_n8,spectral_flatness,10,-0.03324815838026242,0.04708596868835268,-2.2337583592040025,0.052374400876842954,-0.0812834567930536,0.0521547980022281,0.0812834567930536,0.3345003597818539,False
F5_n8,spectral_rolloff_85_hz,10,0.03291492099432707,0.060828021084795854,1.7117724797395335,0.12109644272315685,-0.0235449895541894,0.1724273720053924,0.1724273720053924,0.4036548090771895,False
F5_n8,zero_crossing_rate,10,0.03199159604066359,0.0571453536909935,1.770937398122692,0.11034324034135949,-0.0463666383382645,0.1423989044638579,0.1423989044638579,0.38380257510038085,False
F2_n8,peak_amplitude,10,0.030998097798931194,0.07400144297880183,1.325055337229407,0.21780615298928924,-0.1028573646765361,0.1280159341417484,0.1280159341417484,0.4317824993943283,False
F2_n8,rms,10,0.03072665754027279,0.07395951949184912,1.3141894351603909,0.22128853093959325,-0.1000603003589207,0.1396029250590825,0.1396029250590825,0.4317824993943283,False
F6_n8,word_count_per_tr,10,0.02932298570098226,0.03960909941787857,2.341734968288296,0.04389536266288924,-0.0251807487956423,0.0808986288524665,0.0808986288524665,0.3345003597818539,False
F4_n8,rms,10,0.028607564153738236,0.08207050877158732,1.1025854861160478,0.29881635790068284,-0.0637607772987039,0.1838650854147278,0.1838650854147278,0.4845351607293471,False
F1_n8,spectral_flux,10,0.027576819838715873,0.031674150953203216,2.7539073610158793,0.022333608004758393,-0.0045303987421237,0.0728430249387259,0.0728430249387259,0.3345003597818539,False
F2_n8,spectral_flux,10,-0.02711333919963371,0.039721344616487825,-2.1590640253130675,0.05915753212149718,-0.0895442589045317,0.0299932832169936,0.0895442589045317,0.3345003597818539,False
F1_n8,rms,10,-0.026607948774281544,0.07559160915332551,-1.1133720837753138,0.29439936757719065,-0.1855927570724483,0.0484662688306746,0.1855927570724483,0.4845351607293471,False
F5_n8,spectral_flatness,10,-0.026183299937725394,0.06275159561362477,-1.3197719162280637,0.21949361335245007,-0.1283132230328321,0.0467948173209983,0.1283132230328321,0.4317824993943283,False
F6_n8,rms_dbfs,10,0.026124879409270465,0.046589433230506856,1.773640919642365,0.10987359553912557,-0.0446864278243772,0.1091987406029122,0.1091987406029122,0.38380257510038085,False
F8_n8,rms_dbfs,10,-0.024267962028073613,0.059951769731851,-1.2803142455811478,0.2324462191137372,-0.1718407800018355,0.0375641762345127,0.1718407800018355,0.44217905416269515,False
F7_n8,spectral_flux,10,0.024068569516463047,0.036540154323637046,2.0833574253800364,0.06690007195637078,-0.0308123646429233,0.072333077187787,0.072333077187787,0.3345003597818539,False
F3_n8,peak_amplitude,10,0.023996014423745576,0.06430638049308442,1.1802348276217327,0.2681596220409015,-0.0485398111740932,0.170129360057608,0.170129360057608,0.47672821696160267,False
F8_n8,peak_amplitude,10,-0.023807462044773384,0.085115169753658,-0.8846840616724093,0.39934482539833216,-0.2040175516504761,0.072601734310205,0.2040175516504761,0.5916219635530846,False
F8_n8,spectral_centroid_hz,10,-0.023581514570493338,0.04965542024475777,-1.5020540294607867,0.16732902592870844,-0.0978578898940771,0.0566836316481951,0.0978578898940771,0.431244328429771,False
F7_n8,spectral_bandwidth_hz,10,-0.023284201368576684,0.030013776775888328,-2.4536872240540073,0.0365350579407487,-0.0613020681847445,0.0250106797702218,0.0613020681847445,0.3345003597818539,False
F6_n8,spectral_flux,10,-0.022824053033268787,0.03676470228693266,-1.9635282079805476,0.08118265990941446,-0.0947315419906696,0.0431059759047172,0.0947315419906696,0.3499505671090657,False
F6_n8,spectral_flatness,10,-0.022381518776135853,0.06563958469216358,-1.078440681865949,0.3088911649649588,-0.1350770983552106,0.0631794435591529,0.1350770983552106,0.4845351607293471,False
F7_n8,rms_dbfs,10,0.021988291813744138,0.030815645721665674,2.2567852036941725,0.05044090953425435,-0.0232794300708623,0.0777086353113389,0.0777086353113389,0.3345003597818539,False
F3_n8,rms_dbfs,10,0.021360624230115456,0.048782691548821505,1.3848867093901016,0.1994505018987691,-0.036682681044,0.1211315527431604,0.1211315527431604,0.431244328429771,False
F2_n8,spectral_flatness,10,-0.020711125685291112,0.04876594360456544,-1.3432262815851552,0.21208588688565366,-0.1155927822452986,0.0595311784285042,0.1155927822452986,0.4317824993943283,False
F5_n8,word_count_per_tr,10,-0.02031168337072825,0.03870528104973758,-1.659722295685853,0.13134198691420135,-0.0884835546552477,0.0236305758407585,0.0884835546552477,0.40412919050523494,False
F6_n8,spectral_bandwidth_hz,10,-0.02015702458245215,0.05715981515705053,-1.1153070279992412,0.29361248413324026,-0.1021724834685607,0.058402339466714,0.1021724834685607,0.4845351607293471,False
F5_n8,rms,10,-0.020145761316204887,0.06263509213350406,-1.0172430397857983,0.33560261960836746,-0.149349290831159,0.0620093405187233,0.149349290831159,0.5163117224744115,False
F8_n8,zero_crossing_rate,10,-0.020099072402071465,0.04255381367335115,-1.4938122559406422,0.16943071887787453,-0.074553212528072,0.0630053887881697,0.074553212528072,0.431244328429771,False
F7_n8,zero_crossing_rate,10,-0.020082334908575847,0.027771591959075186,-2.287029800868364,0.04800733570335928,-0.0530095219835777,0.0110605643240642,0.0530095219835777,0.3345003597818539,False
F7_n8,spectral_centroid_hz,10,-0.01884821953668809,0.0258625220182964,-2.3048936669403854,0.046624522046128596,-0.0585784495888451,0.013469661309177,0.0585784495888451,0.3345003597818539,False
F8_n8,spectral_rolloff_85_hz,10,-0.01866669196756635,0.04720889093265399,-1.2505297079404423,0.2426396964814344,-0.0842713748173335,0.0626298035610945,0.0842713748173335,0.44217905416269515,False
F8_n8,rms,10,-0.017484137193686692,0.08764433740931897,-0.6309059210426853,0.5437890635851068,-0.2004731813952699,0.0801445416749504,0.2004731813952699,0.7241941358721391,False
F1_n8,spectral_bandwidth_hz,10,-0.0170133275828147,0.07203702103042352,-0.7469223021530349,0.4741705035377767,-0.186207932985283,0.0555760232258587,0.186207932985283,0.6655024611056515,False
F8_n8,spectral_flux,10,0.016992741404885662,0.03222810226885516,1.6675179662631892,0.12975883299406082,-0.0395373123756976,0.0768775116171902,0.0768775116171902,0.40412919050523494,False
F7_n8,spectral_rolloff_85_hz,10,-0.01574307555915306,0.025546750316586896,-1.9489010943261624,0.0831132596884031,-0.0562126272099884,0.0142281710971767,0.0562126272099884,0.3499505671090657,False
F4_n8,spectral_flux,10,0.015165062255918753,0.038400811339062486,1.2489271118307723,0.24319847978948236,-0.0402563219579999,0.0750508059312126,0.0750508059312126,0.44217905416269515,False
F5_n8,spectral_flux,10,-0.013757424651408268,0.03766320563289098,-1.1551736207120402,0.27776650422333643,-0.0749260000071899,0.047525924808073,0.0749260000071899,0.4830721812579764,False
F5_n8,rms_dbfs,10,0.013028865136521996,0.044521954843908425,0.9254584809307249,0.3788742147505726,-0.039815098178325,0.0943789987499777,0.0943789987499777,0.5718856071706756,False
F2_n8,spectral_bandwidth_hz,10,0.01271656958516235,0.07950829113453883,0.5058024917544869,0.6251508507272094,-0.0797337995206248,0.1992713247388445,0.1992713247388445,0.7573007016789768,False
F4_n8,spectral_centroid_hz,10,0.011664868955895757,0.04494527915011473,0.8207586742914695,0.4329847054446516,-0.0773661454783727,0.0645742704292956,0.0773661454783727,0.6297959351922204,False
F6_n8,peak_amplitude,10,0.011506429966672255,0.06873078945264151,0.529429862262099,0.6093161920068605,-0.104706271890081,0.1216739174809116,0.1216739174809116,0.7499276209315205,False
F5_n8,peak_amplitude,10,-0.011027542139100776,0.05717487460854338,-0.6099456108502113,0.5569823195575517,-0.1342264553151365,0.0622075744106897,0.1342264553151365,0.7241941358721391,False
F4_n8,spectral_rolloff_85_hz,10,0.010564485445429064,0.043064196591639896,0.7757971100638523,0.4577693005424469,-0.0679793570282694,0.0613018394876684,0.0679793570282694,0.653956143632067,False
F3_n8,spectral_centroid_hz,10,-0.009527663510458464,0.0681922173477019,-0.44183970495360353,0.6690310117006358,-0.1367294295276036,0.0979023245622501,0.1367294295276036,0.7756881295079836,False
F8_n8,word_count_per_tr,10,-0.009416644193795535,0.0509105942402694,-0.584925873098951,0.5729676916909995,-0.1335214119150665,0.0628361132243136,0.1335214119150665,0.72757802119492,False
F3_n8,spectral_flatness,10,-0.009251068497909248,0.04212482713836596,-0.6944902526097809,0.5049060012815578,-0.064307487197358,0.0770221510325576,0.0770221510325576,0.6964220707331833,False
F7_n8,spectral_flatness,10,-0.009194660478690135,0.0266504353385362,-1.0910474248432527,0.30359832274853527,-0.0436681529032124,0.0350296327279777,0.0436681529032124,0.4845351607293471,False
F3_n8,rms,10,0.008732021435236813,0.057788607771970556,0.47784120824652737,0.644155342757671,-0.0651139012052304,0.1286058417474397,0.1286058417474397,0.7578298150090246,False
F4_n8,zero_crossing_rate,10,0.007933500338204101,0.04159048069023646,0.6032259507059455,0.5612504553009078,-0.0626577094579206,0.0647474837329676,0.0647474837329676,0.7241941358721391,False
F6_n8,zero_crossing_rate,10,-0.0075654894196916225,0.06339125017267021,-0.37741225448441607,0.7146133137523103,-0.1073219312691257,0.0705187668035839,0.1073219312691257,0.8051981000026032,False
F4_n8,spectral_bandwidth_hz,10,-0.007428860822230497,0.03734572733002521,-0.6290559716828181,0.5449461230258305,-0.0505202209647443,0.0509912557141841,0.0509912557141841,0.7241941358721391,False
F4_n8,word_count_per_tr,10,0.007358310757429382,0.05870904004961733,0.39635193632523424,0.7010785299138993,-0.0696964385597907,0.1183417904557183,0.1183417904557183,0.8012326056158849,False
F3_n8,zero_crossing_rate,10,-0.006658530746118869,0.06883653706948631,-0.30589037616266185,0.7666454796504955,-0.1318355054041443,0.0933765010001334,0.1318355054041443,0.8401594297539676,False
F1_n8,spectral_flatness,10,0.005803380802619585,0.037272344233409846,0.49237867574879973,0.634239337656143,-0.060857954784012,0.0559784179147991,0.060857954784012,0.7573007016789768,False
F3_n8,spectral_bandwidth_hz,10,0.005291949714793054,0.059838426003901504,0.2796659554428656,0.7860548112772544,-0.0783785203789655,0.0975889528763606,0.0975889528763606,0.8497889851645993,False
F8_n8,spectral_flatness,10,0.004531103521393439,0.026671227853905206,0.5372345653165727,0.6041318977470106,-0.0431181373222175,0.0523598583779081,0.0523598583779081,0.7499276209315205,False
F8_n8,spectral_bandwidth_hz,10,0.003915037988302556,0.038266110692552154,0.32353694168141967,0.7536799829195308,-0.0564494879570112,0.0766117894226201,0.0766117894226201,0.837422203243923,False
F3_n8,spectral_rolloff_85_hz,10,-0.0032510665920065258,0.06824736904578245,-0.1506404073923122,0.8835815888417994,-0.1208682151164961,0.1063977931626237,0.1208682151164961,0.9300858829913677,False
