factor,feature,comparison,tent_lag_s,n_runs,mean_pearson_r,mean_spearman_rho,min_pearson_r,max_pearson_r
F1_n8,spectral_flatness,individual_TENT_column_vs_raw_feature,7.5,213,0.012161190857751455,-0.004153616655411573,-0.02318455520508496,0.07758269707943248
F1_n8,spectral_flux,collapsed_factor_vs_matching_FIR_feature,,213,0.019224012181938793,0.07663891905425628,-0.004530398742123758,0.07284302493872599
F1_n8,spectral_flux,collapsed_factor_vs_raw_feature,,213,0.0068630250703537315,0.011825377519868743,-0.10758924835529277,0.07860613706442283
F1_n8,spectral_flux,individual_TENT_column_vs_raw_feature,1.5,213,0.010272227940871115,0.02336616369283755,-0.08891064975989406,0.043761823515646864
F1_n8,spectral_flux,individual_TENT_column_vs_raw_feature,3.0,213,0.012020481334089745,0.006120072061731625,-0.01737828999571782,0.05365004868392224
F1_n8,spectral_flux,individual_TENT_column_vs_raw_feature,4.5,213,0.0012669242805841297,0.01407139950593679,-0.0519802416721236,0.05123426855905074
F1_n8,spectral_flux,individual_TENT_column_vs_raw_feature,6.0,213,0.0014285367072010354,0.007231368255416608,-0.0944188499548787,0.06600062953136511
F1_n8,spectral_flux,individual_TENT_column_vs_raw_feature,7.5,213,-0.005340833648186277,0.009695742281570762,-0.09885022384230607,0.03667788540732922
F1_n8,spectral_rolloff_85_hz,collapsed_factor_vs_matching_FIR_feature,,213,-0.021583233619040486,-0.03949953107809978,-0.22248306796176295,0.06762919164353177
F1_n8,spectral_rolloff_85_hz,collapsed_factor_vs_raw_feature,,213,-0.005814590263572104,-0.02120442160366494,-0.11521712008615632,0.0810171245475566
F1_n8,spectral_rolloff_85_hz,individual_TENT_column_vs_raw_feature,1.5,213,-0.004352442303091006,-0.02484673473312333,-0.06573644213812854,0.07042729369234409
F1_n8,spectral_rolloff_85_hz,individual_TENT_column_vs_raw_feature,3.0,213,-0.015417915567523291,-0.04335438794032629,-0.08714618968905041,0.03625398717380918
F1_n8,spectral_rolloff_85_hz,individual_TENT_column_vs_raw_feature,4.5,213,-0.0058192139092666136,-0.01961620969095177,-0.09837823748055494,0.039575099056342156
F1_n8,spectral_rolloff_85_hz,individual_TENT_column_vs_raw_feature,6.0,213,0.005905467272059926,-0.015161816947593155,-0.06314606044631271,0.088418877308017
F1_n8,spectral_rolloff_85_hz,individual_TENT_column_vs_raw_feature,7.5,213,0.007276521011618677,0.0028349657451283952,-0.0524303503095383,0.07364190487275082
F1_n8,word_count_per_tr,collapsed_factor_vs_matching_FIR_feature,,213,0.03231490658986837,0.04489208073708091,-0.0361869909406782,0.1477258293095298
F1_n8,word_count_per_tr,collapsed_factor_vs_raw_feature,,213,0.0008416045926336091,0.007004403909391407,-0.08603003938474706,0.0752070885992684
F1_n8,word_count_per_tr,individual_TENT_column_vs_raw_feature,1.5,213,-0.0021943234235806868,-0.007418532386672171,-0.05645259542475929,0.0561531135497825
F1_n8,word_count_per_tr,individual_TENT_column_vs_raw_feature,3.0,213,0.015235335763777337,0.0050761093898871925,-0.06655300317574257,0.06701788058133426
