factor,feature,comparison,tent_lag_s,n_narratives,mean_pearson_r,mean_spearman_rho,min_pearson_r,max_pearson_r
F1_n8,spectral_flatness,individual_TENT_column_vs_raw_feature,7.5,10,0.016346116367939808,-0.005239427445076712,-0.023184555205084965,0.07706535188952515
F1_n8,spectral_flux,collapsed_factor_vs_matching_FIR_feature,,10,0.027407453685691373,0.07710442440586497,-0.004530398742123757,0.07284302493872602
F1_n8,spectral_flux,collapsed_factor_vs_raw_feature,,10,0.00584343042024716,0.016834187328053647,-0.1075892483552928,0.07860613706442289
F1_n8,spectral_flux,individual_TENT_column_vs_raw_feature,1.5,10,0.008820183289950092,0.02025392165593792,-0.08891064975989411,0.043761823515646864
F1_n8,spectral_flux,individual_TENT_column_vs_raw_feature,3.0,10,0.013195037441320718,0.008236922735047855,-0.017378289995717836,0.05365004868392224
F1_n8,spectral_flux,individual_TENT_column_vs_raw_feature,4.5,10,0.004193229604379371,0.015958030032944513,-0.05198024167212363,0.04984052022662977
F1_n8,spectral_flux,individual_TENT_column_vs_raw_feature,6.0,10,-0.0018149156459100792,0.008923763748888145,-0.09441884995487868,0.06600062953136508
F1_n8,spectral_flux,individual_TENT_column_vs_raw_feature,7.5,10,-0.009792508527265929,0.012909784587882556,-0.09885022384230613,0.03667788540732924
F1_n8,spectral_rolloff_85_hz,collapsed_factor_vs_matching_FIR_feature,,10,-0.041130073147023265,-0.06773225296456885,-0.21784630697977952,0.06762919164353173
F1_n8,spectral_rolloff_85_hz,collapsed_factor_vs_raw_feature,,10,-0.016601673711224587,-0.0353011676392929,-0.11521712008615649,0.08089755866579743
F1_n8,spectral_rolloff_85_hz,individual_TENT_column_vs_raw_feature,1.5,10,-0.01057081086245948,-0.025872733385448262,-0.06573644213812853,0.0704272936923441
F1_n8,spectral_rolloff_85_hz,individual_TENT_column_vs_raw_feature,3.0,10,-0.025027529117878162,-0.050547967572834286,-0.08714618968905041,0.03625398717380916
F1_n8,spectral_rolloff_85_hz,individual_TENT_column_vs_raw_feature,4.5,10,-0.01574164936821377,-0.0300750370654913,-0.09837823748055499,0.039575099056342176
F1_n8,spectral_rolloff_85_hz,individual_TENT_column_vs_raw_feature,6.0,10,0.0011313464703109949,-0.02136782547953945,-0.06314606044631271,0.08841887730801698
