factor,feature,comparison,tent_lag_s,n_narratives,mean_pearson_r,mean_spearman_rho,min_pearson_r,max_pearson_r
F5_n8,word_count_per_tr,collapsed_factor_vs_matching_FIR_feature,,10,-0.0202981888311033,-0.0454391180931847,-0.0884835546552477,0.0235932105085401
F8_n8,zero_crossing_rate,collapsed_factor_vs_matching_FIR_feature,,10,-0.0202268947203696,-0.0246629104334773,-0.074553212528072,0.0630053887881698
F5_n8,rms,collapsed_factor_vs_matching_FIR_feature,,10,-0.0202210406082941,-0.0254633063281092,-0.148616750904684,0.0620093405187234
F7_n8,zero_crossing_rate,collapsed_factor_vs_matching_FIR_feature,,10,-0.020215128484594,-0.0087922515686055,-0.052764572491942,0.0110605643240642
F6_n8,spectral_bandwidth_hz,collapsed_factor_vs_matching_FIR_feature,,10,-0.0199803047759009,-0.055665902755346,-0.1021724834685607,0.058402339466714
F7_n8,spectral_centroid_hz,collapsed_factor_vs_matching_FIR_feature,,10,-0.0190071488101703,-0.0020287081182779,-0.058578449588845,0.013469661309177
F8_n8,spectral_rolloff_85_hz,collapsed_factor_vs_matching_FIR_feature,,10,-0.018819901631429,-0.0250849567917847,-0.0842713748173335,0.0626298035610945
F8_n8,rms,collapsed_factor_vs_matching_FIR_feature,,10,-0.0172912316242783,-0.0527268915309983,-0.2004731813952698,0.0801445416749504
F8_n8,spectral_flux,collapsed_factor_vs_matching_FIR_feature,,10,0.017167187406011,0.0018708895295559,-0.0395373123756976,0.0768775116171902
F1_n8,spectral_bandwidth_hz,collapsed_factor_vs_matching_FIR_feature,,10,-0.0167374523803366,-0.0250224887340313,-0.1844237683878565,0.0555760232258586
F7_n8,spectral_rolloff_85_hz,collapsed_factor_vs_matching_FIR_feature,,10,-0.0159137237347555,0.0015634852831439,-0.0562126272099884,0.0142281710971767
F4_n8,spectral_flux,collapsed_factor_vs_matching_FIR_feature,,10,0.0152354426661316,0.0189927437597572,-0.0402563219579999,0.0750508059312125
F5_n8,spectral_flux,collapsed_factor_vs_matching_FIR_feature,,10,-0.0139594415946875,-0.0416788672153689,-0.0749260000071899,0.047525924808073
F5_n8,rms_dbfs,collapsed_factor_vs_matching_FIR_feature,,10,0.0129258664210417,0.0106006449560645,-0.040745998588703,0.0943789987499776
F2_n8,spectral_bandwidth_hz,collapsed_factor_vs_matching_FIR_feature,,10,0.0124759715560738,0.0040570346369262,-0.0797337995206248,0.1973649738279021
F6_n8,peak_amplitude,collapsed_factor_vs_matching_FIR_feature,,10,0.0114188431363968,0.0231709645967366,-0.1047062718900809,0.1216739174809117
F4_n8,spectral_centroid_hz,collapsed_factor_vs_matching_FIR_feature,,10,0.0112972224323194,0.0115023217484876,-0.0773661454783727,0.0640708748059879
F5_n8,peak_amplitude,collapsed_factor_vs_matching_FIR_feature,,10,-0.0110640679804631,-0.0190090826158011,-0.1335175804301711,0.0622075744106898
F4_n8,spectral_rolloff_85_hz,collapsed_factor_vs_matching_FIR_feature,,10,0.0102124937220017,0.0063854278372705,-0.0679793570282694,0.0613018394876684
F3_n8,spectral_centroid_hz,collapsed_factor_vs_matching_FIR_feature,,10,-0.0098951518552892,-0.0575757263386312,-0.1367294295276037,0.0971446434977711
