factor,feature,comparison,tent_lag_s,n_runs,mean_pearson_r,mean_spearman_rho,min_pearson_r,max_pearson_r
F1_n8,spectral_flatness,individual_TENT_column_vs_raw_feature,6.0,10,0.009811846820089185,-0.013981668221017257,-0.0423989628193977,0.0882929085172003
F1_n8,spectral_flatness,individual_TENT_column_vs_raw_feature,7.5,10,0.016382515030963475,-0.004915090063159356,-0.02318455520508496,0.07742461895228898
F1_n8,spectral_flux,collapsed_factor_vs_matching_FIR_feature,,10,0.027576819838715884,0.07731463231652508,-0.004530398742123758,0.07284302493872599
F1_n8,spectral_flux,collapsed_factor_vs_raw_feature,,10,0.006210969284671426,0.01719079777073546,-0.10429387474393634,0.07860613706442283
F1_n8,spectral_flux,individual_TENT_column_vs_raw_feature,1.5,10,0.009029543629193339,0.020361731144785896,-0.0868426975305142,0.043761823515646864
F1_n8,spectral_flux,individual_TENT_column_vs_raw_feature,3.0,10,0.013212795187336618,0.008358384813767371,-0.01737828999571782,0.05365004868392224
F1_n8,spectral_flux,individual_TENT_column_vs_raw_feature,4.5,10,0.004371714109544967,0.01608490500648284,-0.05066458919850744,0.05030510300410341
F1_n8,spectral_flux,individual_TENT_column_vs_raw_feature,6.0,10,-0.0015291428771235906,0.009257466099474507,-0.09182250715039393,0.06600062953136511
F1_n8,spectral_flux,individual_TENT_column_vs_raw_feature,7.5,10,-0.00933343373159368,0.013451563559387605,-0.09433955679870173,0.03667788540732922
F1_n8,spectral_rolloff_85_hz,collapsed_factor_vs_matching_FIR_feature,,10,-0.041375916502429215,-0.0680196120381987,-0.21939189397377387,0.06762919164353177
F1_n8,spectral_rolloff_85_hz,collapsed_factor_vs_raw_feature,,10,-0.016637319941233554,-0.0352045878576277,-0.11521712008615632,0.08087760626845536
F1_n8,spectral_rolloff_85_hz,individual_TENT_column_vs_raw_feature,1.5,10,-0.010617892496514446,-0.02585011733761608,-0.06573644213812854,0.07019993137556454
F1_n8,spectral_rolloff_85_hz,individual_TENT_column_vs_raw_feature,3.0,10,-0.025046513227513723,-0.05050975132393781,-0.08714618968905041,0.03625398717380918
